"GeneID"	"GeneAnnotation"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Hist1h2ba"	"HIST1H2BA"	6.73731093086437	3.14389547507138	829.659753299782	4.96695054791473e-06	0.00140107741055579
"AI506816"	NA	6.64553516867407	3.07880044975608	939.427893121046	3.81957999616871e-06	0.00119714125035474
"Drd1a"	"DRD1"	-3.26652718211922	3.65634561437907	2063.42350713774	4.14576881130268e-09	3.00540692641978e-05
"Mc4r"	"MC4R"	-3.01151824596512	3.14389558023248	244.521762136375	3.04358454298511e-06	0.00111894039634913
"Cyp26b1"	"CYP26B1"	-2.89848998474169	3.67114260498386	228.83186766578	3.72632777434892e-06	0.00119714125035474
"Hist1h4m"	NA	-2.74727468297521	2.61102156954407	631.687233654315	5.32122718641804e-05	0.00735790080757256
"Gdf5"	"GDF5"	-2.47997513019192	2.5482858107368	290.907164545063	0.000571455228005546	0.0465884655247989
"Hs3st5"	"HS3ST5"	-2.06783999836378	3.39628274072867	408.927061530352	5.3347475963058e-06	0.00146149818989579
"Bcl6"	"BCL6"	-2.00143406198	4.03371270044422	673.135891509321	1.34657408531529e-07	0.000174453791371889
"Ngfr"	"NGFR"	-1.95588742057207	3.67114259263694	1011.31763548045	3.12406902242615e-06	0.00111894039634913
"Trp73"	"TP73"	-1.67616581861213	3.56422737066778	146.7662727492	0.000158633297087202	0.0170791146726557
"Nefl"	NA	1.62942588944489	7.50867327205871	319.158601780989	1.3462171886583e-06	0.000705272023520367
"Ntng1"	"NTNG1"	1.54091547930672	4.69305723090893	198.813316171391	5.7174094958094e-06	0.00146149818989579
"Nfe2l3"	"NFE2L3"	-1.49289541276275	4.35105352886513	231.972265027872	3.57459130286592e-06	0.00119714125035474
"Vwc2l"	"VWC2L"	1.47263406352976	4.17537370314127	871.677013808309	2.37822961816016e-05	0.00414105562154703
"Gdf10"	"GDF10"	-1.45689323746829	4.01062906001349	937.900505187229	3.61157192614231e-05	0.00547716241358184
"Ndnf"	NA	-1.43624691380911	5.15972065670231	521.789908699924	2.96088977083826e-07	0.000298288495199306
"Lypd1"	"LYPD1"	1.43285063937713	4.18571561281007	283.220875996739	4.07856933709802e-05	0.00605517283478215
"Trhr"	NA	1.42892783042276	4.02221692322082	136.058666483417	7.93566130134015e-05	0.0094851327961103
"Nrgn"	"NRGN"	1.42496974801765	6.11171485108921	1636.97387535368	8.52355906528583e-09	3.00540692641978e-05
"Thrb"	"THRB"	1.35725235383888	4.03371257308573	61.1026679200369	0.000210542386818401	0.0213155179688169
"Fgf9"	"FGF9"	1.35275887378	3.97529589076974	82.3108049583392	0.000227971241807393	0.0224846601010593
"Cwc22"	"CWC22"	-1.3479417790332	6.48059934079542	1787.05269315663	6.48708479855544e-09	3.00540692641978e-05
"Nlrp5-ps"	NA	-1.34412025742202	3.75687243607884	102.222493232539	5.59782019862381e-05	0.00751920534108479
"Pappa2"	"PAPPA2"	-1.30665806751945	4.43147219841006	165.064980805251	1.00475819790207e-05	0.00208398670929571
"Wnt7b"	"WNT7B"	-1.28590740761813	7.33836341323455	252.008951392662	2.77567448195506e-06	0.00108744758037484
"Nefm"	"NEFM"	1.23975814558324	6.29005218724699	189.63847402022	6.59953404820866e-06	0.00158967023863728
"Adamts3"	"ADAMTS3"	-1.20350937968465	5.54828596497689	290.351596838273	1.79938902104967e-06	0.000814172674330201
"Sybu"	"SYBU"	-1.19346157793261	8.00553081691791	1237.13047300141	2.03671606981019e-08	5.68954345544958e-05
"Tle4"	"TLE4"	-1.15869577720249	7.31499928345038	1706.04884819146	7.49475078016834e-09	3.00540692641978e-05
"Zfp521"	"ZNF521"	1.11566154074545	5.22133949342697	323.235560874304	1.29476500776729e-06	0.000705272023520367
"Fst"	"FST"	1.11380264392617	4.70748427567816	244.222352282104	5.04071025704465e-05	0.00710941774653577
"Ptk2b"	"PTK2B"	-1.1099326779737	5.33720358371658	1388.58038404898	1.36060103877679e-07	0.000174453791371889
"Grin3a"	"GRIN3A"	1.09801648319461	7.00187627799994	119.674782688236	2.6408273579208e-05	0.00436394537356655
"Btbd11"	"BTBD11"	-1.08875561709455	4.777531960272	976.554400009263	1.93964594614114e-05	0.00359957452952298
"Fras1"	"FRAS1"	1.08230456456349	4.91441360317919	364.521700833796	2.30892109137145e-05	0.00407062788408787
"Stxbp6"	"STXBP6"	1.07781968847697	4.88932261543564	514.749521350409	3.27345340176276e-05	0.00507349305257823
"Reln"	"RELN"	-1.07304761902908	8.93103134879162	1170.30923649281	2.42039568439432e-08	5.68954345544958e-05
"Cntn4"	"CNTN4"	1.05703425690341	4.49937614549119	89.630813381875	0.000317422732779531	0.0296160278373742
"Rgs8"	"RGS8"	1.04041591080989	5.17537366369677	770.18179624811	4.45949333080273e-06	0.00131034779036754
"Mctp1"	"MCTP1"	-1.03504742477993	4.72885811041727	327.053776581508	9.03469445306069e-05	0.010618777547164
"Gfra1"	"GFRA1"	1.010789570164	4.95729939133525	204.115804933563	5.59016841988404e-05	0.00751920534108479
"Flrt3"	"FLRT3"	0.987710060578184	6.92525508866445	67.0695697903164	0.000145016434648281	0.0159789983928074
"Sorcs1"	"SORCS1"	0.979607439029897	4.9989471187772	149.210799713001	5.54048327348175e-05	0.00751920534108479
"Ptprk"	"PTPRK"	-0.974512619813944	7.53823273003993	191.651281477676	6.3913898450975e-06	0.00158147653289921
"Tbr1"	"TBR1"	-0.96463124477174	7.38846970687473	977.897403859847	4.22879616857384e-08	6.62699346239616e-05
"Hs3st4"	"HS3ST4"	-0.943030421183882	5.72885818798754	254.692738167709	2.6872447532596e-06	0.0010828828571421
"Cntn6"	"CNTN6"	0.927996128521986	5.5240381129253	507.429696243875	3.25273371031723e-06	0.00111894039634913
"Akap7"	"AKAP7"	-0.903855662001948	6.67298183467966	612.728662238596	1.80158466080278e-07	0.000211746250466353
"Hist1h2bl"	"HIST1H2BL"	0.889641377091098	5.10628111977651	60.2849495460655	0.000242521282183239	0.023619894063444
"Lypd6"	"LYPD6"	-0.88834171197658	4.74991971560377	465.428855060858	0.000404704553372862	0.0348045915900661
"Rorb"	"RORB"	-0.884539392699058	5.56818547308668	279.002878691708	2.42611519813373e-06	0.00102823034717359
"Ccbe1"	"CCBE1"	-0.880282337353729	4.79114237034485	64.5654330659774	0.000413985922113831	0.0353870148211725
"Thsd7a"	"THSD7A"	0.875950592969099	5.5839096049012	184.677722279435	1.12318388540414e-05	0.00226305507424857
"Itga6"	"ITGA6"	0.874686569812564	6.14654495651664	581.596432485489	2.11701387981558e-07	0.000229679721237838
"Fam84a"	"FAM84A"	-0.826486419601051	6.53823234504154	436.308003408209	5.14382337034574e-07	0.000453428030095977
"Nova1"	"NOVA1"	0.819844039991127	5.21125070912451	369.106249792793	0.000225685199773643	0.0224159440676582
