"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gap43",0,0.544154951840723,0.975,0.831,0,"0","Gap43"
"Nrgn",0,0.533347899533658,0.949,0.762,0,"0","Nrgn"
"Stmn2",0,0.39006381184087,0.994,0.917,0,"0","Stmn2"
"Calm2",0,0.371042894825304,0.995,0.959,0,"0","Calm2"
"Stmn1",0,0.341329387179247,0.998,0.958,0,"0","Stmn1"
"Calm1",0,0.336838484871399,0.996,0.968,0,"0","Calm1"
"Sepw1",0,0.30268567929216,1,0.993,0,"0","Sepw1"
"Tuba1a",0,0.283676890772559,1,0.998,0,"0","Tuba1a"
"Tmsb10",0,0.262144619316708,1,0.997,0,"0","Tmsb10"
"Stmn3",2.70167635733845e-267,0.382375708339923,0.921,0.79,4.03441330441351e-263,"0","Stmn3"
"Snrpn",1.73481057206873e-262,0.389205930674872,0.914,0.761,2.59059262727023e-258,"0","Snrpn"
"Tubb2a",3.38271414549567e-244,0.378434487055216,0.908,0.793,5.05140703346869e-240,"0","Tubb2a"
"Atpif1",1.84942997801744e-228,0.251553216308651,0.992,0.971,2.76175378617344e-224,"0","Atpif1"
"Mif",1.25591270716396e-214,0.288869175136031,0.962,0.893,1.87545444560794e-210,"0","Mif"
"Rac3",3.2338248700135e-211,0.414937466118292,0.776,0.582,4.82907067839116e-207,"0","Rac3"
"Mllt11",7.2565395081436e-210,0.382914526589163,0.848,0.685,1.08361904475108e-205,"0","Mllt11"
"Arhgdig",2.08833629896778e-194,0.397369031641879,0.757,0.561,3.11851259524859e-190,"0","Arhgdig"
"Cnih2",6.83452911191681e-191,0.339247764033473,0.855,0.687,1.02060023228254e-186,"0","Cnih2"
"Tubb3",7.11684945569072e-189,0.3049702152853,0.928,0.797,1.0627591292183e-184,"0","Tubb3"
"Map1lc3a",1.97972605573085e-178,0.2972858482337,0.91,0.811,2.95632491902287e-174,"0","Map1lc3a"
"Calm3",1.19070897665912e-176,0.285537220584351,0.925,0.851,1.77808571484506e-172,"0","Calm3"
"Tubb2b",1.97819841885709e-169,0.257998818256448,0.961,0.892,2.95404369887929e-165,"0","Tubb2b"
"Gng3",3.55781156186493e-168,0.363103730608891,0.777,0.604,5.3128800053329e-164,"0","Gng3"
"Mgst3",6.36350674748303e-138,0.293326916006746,0.805,0.649,9.5026246260164e-134,"0","Mgst3"
"Snca",9.74593160037687e-137,0.359396947282429,0.67,0.494,1.45535996588428e-132,"0","Snca"
"Mef2c",3.52981528509446e-130,0.362875674186235,0.703,0.549,5.27107316523156e-126,"0","Mef2c"
"Basp1",1.88529142527694e-127,0.273296146775079,0.867,0.757,2.81530568536605e-123,"0","Basp1"
"Hsbp1",1.29905186067817e-126,0.251528278432608,0.893,0.826,1.93987414355072e-122,"0","Hsbp1"
"Uchl1",4.69991666519761e-126,0.352998601081619,0.657,0.503,7.01838555613959e-122,"0","Uchl1"
"Nme1",1.51853145520103e-121,0.268034684902971,0.842,0.751,2.2676230220517e-117,"0","Nme1"
"Rab3a",3.37374649810275e-119,0.341886113014483,0.648,0.481,5.03801564561684e-115,"0","Rab3a"
"Neurod6",7.43699371108823e-116,0.417062067443098,0.373,0.214,1.11056627087681e-111,"0","Neurod6"
"Serf1",1.12702524179698e-112,0.304869704730747,0.745,0.616,1.68298679357543e-108,"0","Serf1"
"Thra",1.3453078349032e-111,0.267834400567154,0.799,0.685,2.00894818986095e-107,"0","Thra"
"Fabp3",4.11168897817084e-106,0.336509238662557,0.54,0.368,6.13998515110252e-102,"0","Fabp3"
"Camk2n1",1.95566092196707e-102,0.263370126482865,0.813,0.695,2.92038845477342e-98,"0","Camk2n1"
"Sncb",2.49764658892501e-101,0.338053335450184,0.568,0.402,3.72973565124172e-97,"0","Sncb"
"Vamp2",1.24329354588742e-100,0.277711801371842,0.736,0.61,1.85661025207369e-96,"0","Vamp2"
"Ctxn1",1.44089427722348e-97,0.328193721957497,0.6,0.458,2.15168742417783e-93,"0","Ctxn1"
"S100a10",1.45602338374314e-90,0.34740311680916,0.456,0.308,2.17427971894362e-86,"0","S100a10"
"Fxyd7",7.56994698140976e-89,0.316199688776046,0.554,0.4,1.13042018273392e-84,"0","Fxyd7"
"Bex2",3.63369647132253e-88,0.263907874035388,0.736,0.607,5.42619894062593e-84,"0","Bex2"
"Cycs",3.15730701038504e-87,0.260590781265329,0.75,0.649,4.71480655860798e-83,"0","Cycs"
"Ttc9b",5.69444577159792e-85,0.275487332865129,0.685,0.561,8.50351587072717e-81,"0","Ttc9b"
"Serp2",2.52236881624127e-84,0.276138842556,0.629,0.49,3.76665335329309e-80,"0","Serp2"
