"","gene","Pr..Chisq.","fdr","logfc"
"1","0610007P14Rik",0.540025102244144,0.971644152121218,-0.0341692317598655
"2","0610009B22Rik",0.52342990497704,0.965565990821621,-0.0167370565468571
"3","0610009L18Rik",0.283241845940156,0.854200062140544,0.000572528518582034
"4","0610009O20Rik",0.498129893699275,0.943146966851074,NA
"5","0610010F05Rik",0.325099020496134,0.888818739725331,0.0209657198269832
"6","0610010K14Rik",0.0979036418373262,0.664443522177398,-0.0349160595038915
"7","0610011F06Rik",0.475852156344653,0.923887244821797,0.018498296508882
"8","0610012G03Rik",0.0392845836383688,0.379310367458489,-0.199885829306274
"9","0610037L13Rik",0.944307538162399,1,0.00177577603122686
"10","0610040J01Rik",0.451639898926241,0.917392514413533,NA
"11","1110001J03Rik",0.274498949144459,0.854200062140544,0.0593806794805241
"12","1110004E09Rik",0.513373900613653,0.954130663990245,-0.0139248123370205
"13","1110004F10Rik",0.134116811946807,0.719631599992886,0.0866794540319582
"14","1110008F13Rik",0.459984467545439,0.917392514413533,0.0233507016615587
"15","1110008P14Rik",0.934369953144145,1,0.0121845377714012
"16","1110012L19Rik",0.283299704061137,0.854200062140544,-0.00643457755730467
"17","1110015O18Rik",0.294690766699497,0.854999053815878,NA
"18","1110017D15Rik",0.718434073087274,0.984519980171691,0.00449724003471852
"19","1110032A03Rik",0.482259616890225,0.929270541699558,-0.0108293912431638
"20","1110034G24Rik",0.938281586395444,1,0.0013184462478328
"21","1110038F14Rik",0.0703834103559004,0.561177175303251,0.00962636343795186
"22","1110046J04Rik",0.589971609551156,0.971644152121218,NA
"23","1110051M20Rik",0.402728060316266,0.917392514413533,0.0090162932787243
"24","1110059E24Rik",0.429913248963601,0.917392514413533,-0.0122399512909307
"25","1110059G10Rik",0.720042430995805,0.984519980171691,0.00210173159765235
"26","1110065P20Rik",0.595706983683543,0.971644152121218,0.0419590033455477
"27","1190005I06Rik",0.64567536350068,0.971862967378352,NA
"28","1190007I07Rik",0.593359037396912,0.971644152121218,NA
"29","1300002E11Rik",0.787548487022637,0.996999521025915,-0.00815524606387528
"30","1500009C09Rik",0.618442679607489,0.971644152121218,-0.0261220899308819
"31","1500009L16Rik",0.815868496755554,1,0.0100375630843629
"32","1500011B03Rik",0.613158332019064,0.971644152121218,-0.0318187354031768
"33","1500011K16Rik",0.468203928308753,0.917730869313387,-0.0208467160724869
"34","1500015A07Rik",0.119062035481631,0.719631599992886,NA
"35","1500026H17Rik",0.329396008581601,0.894826619181575,0.0172944246146468
"36","1500035N22Rik",0.352497141172723,0.917392514413533,-0.0206974752254914
"37","1600020E01Rik",0.479380608792214,0.926225824798099,0.00587729595624009
"38","1700001L19Rik",0.414907016327792,0.917392514413533,0.0187989880793896
"39","1700016K19Rik",0.509585898888124,0.951775381052694,0.00695339087599434
"40","1700020I14Rik",0.0104046670714273,0.167361169440403,0.0909822352275324
"41","1700021F05Rik",0.372134665282186,0.917392514413533,0.027178527217671
"42","1700023F06Rik",0.28381275175653,0.854200062140544,NA
"43","1700025G04Rik",0.405748107300426,0.917392514413533,0.00934502395932247
"44","1700037C18Rik",0.435957564557213,0.917392514413533,NA
"45","1700037H04Rik",0.216853353544966,0.81211466119079,0.0139698566248232
"46","1700047I17Rik2",0.63350738062685,0.971644152121218,NA
"47","1700086L19Rik",0.270050747417799,0.854200062140544,0.0137577860312711
"48","1700086O06Rik",0.950086151673249,1,-0.000297122324877045
"49","1700088E04Rik",0.638340971692669,0.971644152121218,-0.00427977522342683
"50","1700096K18Rik",0.605434670967148,0.971644152121218,NA
"51","1700097N02Rik",0.44072771536609,0.917392514413533,NA
"52","1700123O20Rik",0.836488879265115,1,-0.00543732413341351
"53","1810013L24Rik",0.602911194394984,0.971644152121218,NA
"54","1810022K09Rik",0.000268871085214796,0.00817322527682605,-0.210997743685544
"55","1810024B03Rik",0.215336595811726,0.809656571464006,-0.010987298683433
"56","1810026J23Rik",0.171788557275625,0.751065715463802,NA
"57","1810037I17Rik",0.00285976218233548,0.0616094110993235,-0.39190003546666
"58","1810043G02Rik",0.624740518188812,0.971644152121218,-0.0106183841981165
"59","1810043H04Rik",0.0831196807662975,0.622443204402316,0.0383101974991467
"60","1810055G02Rik",0.613552945564706,0.971644152121218,NA
"61","1810058I24Rik",0.445968980022619,0.917392514413533,-0.05579617655606
"62","2010107E04Rik",3.74765379613268e-07,1.88011666667523e-05,-0.620340875081739
"63","2010107G23Rik",0.374619296908804,0.917392514413533,-0.0155355914154456
"64","2010320M18Rik",0.0109672777514595,0.173684879887352,-0.0449907879709181
"65","2210013O21Rik",0.904386817087412,1,-0.0180221498570968
"66","2210016F16Rik",0.0658734575898124,0.546400291511425,NA
"67","2210016L21Rik",0.321317165463395,0.883191319936551,0.0151806587180092
"68","2300009A05Rik",0.353782972819022,0.917392514413533,-0.0283072543650514
"69","2310009B15Rik",0.484696917227331,0.930732249515223,0.0313590194514967
"70","2310011J03Rik",0.876290845081329,1,0.000768979248509966
"71","2310015A10Rik",0.272801706074251,0.854200062140544,NA
"72","2310022A10Rik",0.632875584048572,0.971644152121218,NA
"73","2310022B05Rik",0.884237353920713,1,0.00212589390801124
"74","2310033P09Rik",0.517032419308372,0.958236375895808,0.00386017485958087
"75","2310035C23Rik",1,1,NA
"76","2310036O22Rik",0.0312763320362674,0.347331897876443,-0.154224050493711
"77","2310039H08Rik",0.398591597859239,0.917392514413533,0.0235860235069625
"78","2310040G24Rik",0.537299933658963,0.971644152121218,0.00767218999943075
"79","2310057M21Rik",0.159421824370274,0.719631599992886,NA
"80","2310061I04Rik",0.603434302284631,0.971644152121218,0.000524068013720506
"81","2310069G16Rik",0.289384432757318,0.854200062140544,NA
"82","2410002F23Rik",0.467259197530425,0.917392514413533,0.0142342890503178
"83","2410004B18Rik",0.0574850003594996,0.495654010137444,0.0485915224781082
"84","2410015M20Rik",0.00378166894272919,0.0749439033014896,-0.357444343612483
"85","2410018L13Rik",0.155214883612492,0.719631599992886,NA
"86","2410131K14Rik",1,1,NA
"87","2510002D24Rik",0.53627652758584,0.971644152121218,-0.00490538235394739
"88","2510009E07Rik",0.723438336578736,0.984519980171691,0.00320355227042636
"89","2510039O18Rik",1,1,NA
"90","2510046G10Rik",0.590496146572713,0.971644152121218,NA
