"gene" "pval" "padj" "logfc" "method"
"1" "0610007P14Rik" 0.74021678582911 0.962044239209499 -0.00464558665053565 "MAST"
"2" "0610009B22Rik" 0.0444540710240587 0.456896139722918 0.00120877203682071 "MAST"
"3" "0610009L18Rik" 0.592624844300327 0.91667721592658 0.00561538005724217 "MAST"
"4" "0610009O20Rik" 0.554487037288502 0.91667721592658 NA "MAST"
"5" "0610010F05Rik" 0.219314077498791 0.881839464348601 -0.0206397315593783 "MAST"
"6" "0610010K14Rik" 0.908709253185971 1 0.00744866969285294 "MAST"
"7" "0610011F06Rik" 0.194927665458478 0.842924094032021 -0.00432718595936602 "MAST"
"8" "0610012G03Rik" 0.0780792982516702 0.605557714224305 0.195844055285649 "MAST"
"9" "0610037L13Rik" 0.408117429454091 0.909364470292785 -0.0210536274472955 "MAST"
"10" "0610040J01Rik" 0.62691610997982 0.925835704572346 NA "MAST"
"11" "1110001J03Rik" 0.839304373111729 0.985148557672041 -0.00326362437765115 "MAST"
"12" "1110004E09Rik" 0.180541596343358 0.838320655124436 -0.0151401415378984 "MAST"
"13" "1110004F10Rik" 0.518532736878836 0.91667721592658 -0.074177926769323 "MAST"
"14" "1110008F13Rik" 0.357268498724846 0.909364470292785 -0.046404116397341 "MAST"
"15" "1110008P14Rik" 0.855450577775217 0.991758636871268 -0.0322906158395697 "MAST"
"16" "1110012L19Rik" 0.981181104426192 1 0.00135284384737962 "MAST"
"17" "1110015O18Rik" 0.367865839896495 0.909364470292785 NA "MAST"
"18" "1110017D15Rik" 0.00643180735523161 0.123117370735833 NA "MAST"
"19" "1110032A03Rik" 0.744961280097634 0.962342065712308 -0.0101546610099334 "MAST"
"20" "1110034G24Rik" 0.239372933148167 0.883504608651344 NA "MAST"
"21" "1110038F14Rik" 0.945445990889472 1 -0.000259751874863132 "MAST"
"22" "1110046J04Rik" 0.353988966182669 0.909364470292785 NA "MAST"
"23" "1110051M20Rik" 0.879998766609151 1 -0.0059215600864124 "MAST"
"24" "1110059E24Rik" 0.944377015752145 1 0.00335918739563176 "MAST"
"25" "1110059G10Rik" 0.913851538639906 1 -0.00353436215408853 "MAST"
"26" "1110065P20Rik" 0.644218034753721 0.934570510095415 0.044437180622817 "MAST"
"27" "1190005I06Rik" 0.3706569625957 0.909364470292785 NA "MAST"
"28" "1190007I07Rik" 0.259295308291936 0.888234154697357 NA "MAST"
"29" "1300002E11Rik" 0.535105941071889 0.91667721592658 0.00709583184097881 "MAST"
"30" "1500009C09Rik" 0.73172957274857 0.961585329158854 0.0278224652494655 "MAST"
"31" "1500009L16Rik" 0.0694182645195695 0.577848968314113 -0.0586849576752804 "MAST"
"32" "1500011B03Rik" 0.838138780029499 0.984641782737387 0.012148653322818 "MAST"
"33" "1500011K16Rik" 0.303109324103595 0.909364470292785 -0.0533287965603501 "MAST"
"34" "1500015A07Rik" 0.178473169468286 0.833937164031799 NA "MAST"
"35" "1500026H17Rik" 0.613593671711205 0.919765724590168 -0.0093210415208642 "MAST"
"36" "1500035N22Rik" 0.00566575319499427 0.111972764244873 0.0462880964720217 "MAST"
"37" "1600020E01Rik" 0.847643280129145 0.988136641476517 -0.00745725286840219 "MAST"
"38" "1700001L19Rik" 0.508907604847274 0.91667721592658 -0.0023878753800911 "MAST"
"39" "1700016K19Rik" 0.0428781498300874 0.44452000994371 NA "MAST"
"40" "1700020I14Rik" 0.492725688717463 0.91667721592658 -0.0277969340548552 "MAST"
"41" "1700021F05Rik" 0.313022338129103 0.909364470292785 -0.0217529744121776 "MAST"
"42" "1700023F06Rik" 0.307968148144026 0.909364470292785 NA "MAST"
"43" "1700025G04Rik" 0.746452893830453 0.962342065712308 0.00627294416094648 "MAST"
"44" "1700037C18Rik" 0.582077881393866 0.91667721592658 0.00188949244980437 "MAST"
"45" "1700037H04Rik" 0.489700763348749 0.91667721592658 -0.0131302404115115 "MAST"
"46" "1700047I17Rik2" 1 1 NA "MAST"
"47" "1700086L19Rik" 0.368284510699562 0.909364470292785 -0.0118009372888824 "MAST"
"48" "1700086O06Rik" 0.828261240498971 0.981815290703837 0.00196216059210755 "MAST"
"49" "1700088E04Rik" 0.464763710322623 0.913748987001451 NA "MAST"
"50" "1700096K18Rik" 0.73666796239212 0.961585329158854 NA "MAST"
"51" "1700097N02Rik" 0.720466352881844 0.961585329158854 0.00585796043272307 "MAST"
"52" "1700123O20Rik" 0.70235812460992 0.961585329158854 0.00626219567197152 "MAST"
"53" "1810013L24Rik" 0.596294655295597 0.91667721592658 NA "MAST"
"54" "1810022K09Rik" 1.48847501318608e-07 9.4498404819442e-06 0.270833127655655 "MAST"
"55" "1810024B03Rik" 0.638829081352939 0.931874711188691 0.00618048210978371 "MAST"
"56" "1810026J23Rik" 0.140613625014139 0.750009030372814 NA "MAST"
"57" "1810037I17Rik" 4.07704163800014e-05 0.00163400540284989 0.334380534959559 "MAST"
"58" "1810043G02Rik" 0.558951819201782 0.91667721592658 0.010651008004934 "MAST"
"59" "1810043H04Rik" 0.986013532311786 1 -0.00198291513764601 "MAST"
"60" "1810055G02Rik" 0.718890389214904 0.961585329158854 NA "MAST"
"61" "1810058I24Rik" 0.547173129303869 0.91667721592658 0.0420084164189021 "MAST"
"62" "2010107E04Rik" 3.01792773256525e-12 2.88674847378975e-10 0.734599205401885 "MAST"
"63" "2010107G23Rik" 0.552088535390862 0.91667721592658 0.00793195825222853 "MAST"
"64" "2010320M18Rik" 0.148282808210436 0.775907004230768 0.030818538469532 "MAST"
"65" "2210013O21Rik" 0.101373139970365 0.652207443292273 0.0841404790234365 "MAST"
"66" "2210016F16Rik" 0.229322434795604 0.881839464348601 NA "MAST"
"67" "2210016L21Rik" 0.709209580630983 0.961585329158854 -0.0168531475149967 "MAST"
"68" "2300009A05Rik" 0.0178924395487093 0.253176255073847 0.0484209370709401 "MAST"
"69" "2310009B15Rik" 0.647033508803074 0.936273980554502 0.00619657716730246 "MAST"
"70" "2310011J03Rik" 0.173490544353054 0.818829713940005 0.00818411590996931 "MAST"
"71" "2310015A10Rik" 0.732348656552846 0.961585329158854 NA "MAST"
"72" "2310022A10Rik" 0.605758766441818 0.91667721592658 0.00237336464483321 "MAST"
"73" "2310022B05Rik" 0.771223671451381 0.963895229789583 -0.00283175094957913 "MAST"
"74" "2310033P09Rik" 0.0942632666082696 0.630871236292211 -0.00116191218805284 "MAST"
"75" "2310035C23Rik" 0.597594035042471 0.91667721592658 NA "MAST"
"76" "2310036O22Rik" 0.000429375950592618 0.0137515315604975 0.115907257748097 "MAST"
"77" "2310039H08Rik" 0.411620385770975 0.909364470292785 -0.0197531847659534 "MAST"
"78" "2310040G24Rik" 0.104509557781221 0.652280719209554 NA "MAST"
"79" "2310057M21Rik" 0.199317334716478 0.85035767297554 NA "MAST"
"80" "2310061I04Rik" 0.31915104526603 0.909364470292785 -0.00792857385955162 "MAST"
"81" "2310069G16Rik" 0.448444309629495 0.909364470292785 NA "MAST"
"82" "2410002F23Rik" 0.81295947286565 0.975816412020791 -0.00554765619646312 "MAST"
"83" "2410004B18Rik" 0.0898301490556392 0.629332374000397 -0.0408568943631556 "MAST"
"84" "2410015M20Rik" 0.000765328384415097 0.0222286065983559 0.397906703125438 "MAST"
"85" "2410018L13Rik" 0.432121251273157 0.909364470292785 NA "MAST"
"86" "2410131K14Rik" 0.764510920763022 0.96236733210526 NA "MAST"
"87" "2510002D24Rik" 0.939437342532653 1 -0.00345216383991065 "MAST"
"88" "2510009E07Rik" 0.126533204535556 0.719675706781073 NA "MAST"
"89" "2510039O18Rik" 1 1 NA "MAST"
"90" "2510046G10Rik" 0.437749919466922 0.909364470292785 NA "MAST"
"91" "2610001J05Rik" 0.886063023682658 1 -0.0116411877784192 "MAST"
"92" "2610002M06Rik" 0.566031874599644 0.91667721592658 -0.00249761956108351 "MAST"
"93" "2610301B20Rik" 0.368475084479085 0.909364470292785 NA "MAST"
"94" "2610507B11Rik" 0.237261422133072 0.882447457957523 NA "MAST"
"95" "2610524H06Rik" 0.679259836280623 0.955679557850007 0.0110829469944092 "MAST"
"96" "2700029M09Rik" 0.170341764308396 0.812538657259156 0.0411867363968173 "MAST"
"97" "2700060E02Rik" 0.236084236190841 0.882447457957523 0.0865787561316554 "MAST"
"98" "2700062C07Rik" 0.115020943100985 0.686597888356875 NA "MAST"
"99" "2700081O15Rik" 0.480562645121641 0.91667721592658 -0.00855659461642836 "MAST"
"100" "2700094K13Rik" 0.000279082746768968 0.00931227732707245 0.314782832291637 "MAST"
"101" "2810001G20Rik" 0.452545142349112 0.909364470292785 -0.00122801157129998 "MAST"
"102" "2810004N23Rik" 0.263464163506212 0.888618669014371 0.0309172445345605 "MAST"
"103" "2810006K23Rik" 0.38225412221293 0.909364470292785 NA "MAST"
"104" "2810032G03Rik" 0.437526699444621 0.909364470292785 NA "MAST"
"105" "2810417H13Rik" 0.271133553702986 0.899457811884226 0.0190290801655907 "MAST"
"106" "2810428I15Rik" 0.00626573597857823 0.121160080620809 0.163896346006016 "MAST"
"107" "2810459M11Rik" 0.348424995823596 0.909364470292785 NA "MAST"
"108" "2900009J06Rik" 0.923460438438456 1 0.000219863791276313 "MAST"
"109" "2900011O08Rik" 0.943826027737217 1 -0.0071780840313031 "MAST"
"110" "2900052N01Rik" 0.876421122469518 0.999834302004599 -0.00222579490988359 "MAST"
"111" "2900055J20Rik" 0.416997831530686 0.909364470292785 NA "MAST"
"112" "2900076A07Rik" 0.444421915923032 0.909364470292785 NA "MAST"
"113" "2900079G21Rik" 0.408858851454657 0.909364470292785 0.00622239061674292 "MAST"
"114" "2900093K20Rik" 0.145992914597856 0.766870066640529 0.0146548237580154 "MAST"
"115" "3010026O09Rik" 0.992595207350898 1 0.000619339684368443 "MAST"
"116" "3110002H16Rik" 0.416604516967773 0.909364470292785 NA "MAST"
"117" "3110009E18Rik" 0.510514861442171 0.91667721592658 NA "MAST"
"118" "3110035E14Rik" 0.420851145997299 0.909364470292785 0.0125394610337547 "MAST"
"119" "3110039M20Rik.1" 0.834660691377506 0.983489558085677 0.0083999162916071 "MAST"
"120" "3110040N11Rik" 0.744657675391579 0.962342065712308 0.00412702527241615 "MAST"
"121" "3110043O21Rik" 0.786622214216467 0.967773386646152 NA "MAST"
"122" "3110062M04Rik" 0.751541906870965 0.962342065712308 NA "MAST"
"123" "3110082I17Rik" 0.34948037226796 0.909364470292785 NA "MAST"
"124" "3110082J24Rik" 0.366546325556857 0.909364470292785 0.00788205655688326 "MAST"
"125" "3830406C13Rik" 0.863286214769309 0.99473422819708 -0.00565256601719834 "MAST"
"126" "4632415L05Rik" 0.349057820904279 0.909364470292785 NA "MAST"
"127" "4833439L19Rik" 0.376864692477159 0.909364470292785 0.0102108743223459 "MAST"
"128" "4921524J17Rik" 0.468108073677108 0.914793604075067 -0.00125330335849687 "MAST"
"129" "4930402H24Rik" 0.500855005766451 0.91667721592658 NA "MAST"
"130" "4930430F08Rik" 0.348885993708554 0.909364470292785 NA "MAST"
"131" "4930453N24Rik" 0.28135012908061 0.899457811884226 NA "MAST"
"132" "4930570G19Rik" 0.256301980298489 0.888234154697357 NA "MAST"
"133" "4931406C07Rik" 0.579710093604367 0.91667721592658 -0.0013630465154318 "MAST"
"134" "4931406P16Rik" 0.480290767709406 0.91667721592658 NA "MAST"
"135" "4931428F04Rik" 0.563329805633767 0.91667721592658 -0.00286023433026159 "MAST"
"136" "4932438A13Rik" 0.188345280107437 0.839850701980334 0.013402178809452 "MAST"
"137" "4933404O12Rik" 0.248788260087889 0.888234154697357 NA "MAST"
"138" "4933431E20Rik" 0.0728636652888392 0.585979473232862 NA "MAST"
"139" "4933434E20Rik" 0.503859778005378 0.91667721592658 -0.0101190726655702 "MAST"
"140" "5031425E22Rik" 0.308609573449549 0.909364470292785 NA "MAST"
"141" "5031439G07Rik" 0.62941168435818 0.926850694677629 -0.00270394922201215 "MAST"
"142" "5033430I15Rik" 0.41478119021207 0.909364470292785 -0.0105883964958137 "MAST"
"143" "5430416N02Rik" 0.276537172072455 0.899457811884226 -0.00939450872894838 "MAST"
"144" "5730409E04Rik" 0.225551821854222 0.881839464348601 -0.0059990060833177 "MAST"
"145" "5730455P16Rik" 0.701631579724856 0.961585329158854 0.00456569567694055 "MAST"
"146" "5730508B09Rik" 0.556150075256489 0.91667721592658 NA "MAST"
"147" "5930412G12Rik" 0.10207962131287 0.652207443292273 0.00771335828420561 "MAST"
"148" "6030419C18Rik" 0.99280940162189 1 0.000101148979536748 "MAST"
"149" "6330403A02Rik" 0.841178820399163 0.985731379316695 0.000235729365571128 "MAST"
"150" "6330403K07Rik" 0.175791522144365 0.825971039298521 -0.0780439508327173 "MAST"
"151" "6330418K02Rik" 0.446585676727873 0.909364470292785 NA "MAST"
"152" "6430548M08Rik" 0.348197096903024 0.909364470292785 NA "MAST"
"153" "9030624J02Rik" 0.2296048571179 0.881839464348601 -0.0135599880886002 "MAST"
