"gene" "pval" "padj" "logfc" "method"
"Lypla1" "Lypla1" 0.832394410370783 0.929215930304916 -0.00115303919376019 "ROTS"
"Tcea1" "Tcea1" 0.186809172010036 0.421135646687697 -0.0101691697602368 "ROTS"
"Rgs20" "Rgs20" 0.679207276275439 0.843928633292915 0.00244149773666272 "ROTS"
"Atp6v1h" "Atp6v1h" 0.670638555896292 0.836928161419377 0.00252704688555244 "ROTS"
"Rb1cc1" "Rb1cc1" 0.0621968915528297 0.212868892114175 -0.0113628414527263 "ROTS"
"Pcmtd1" "Pcmtd1" 0.10638967103429 0.298307752853207 -0.0111825723932897 "ROTS"
"Rrs1" "Rrs1" 0.99192340395874 0.997200839748076 5.52253895414884e-05 "ROTS"
"Adhfe1" "Adhfe1" 0.00269354613883468 0.0194285714285714 -0.0254554906454549 "ROTS"
"3110035E14Rik" "3110035E14Rik" 0.0754410370783384 0.239695340501792 -0.0131726946127666 "ROTS"
"Vcpip1" "Vcpip1" 0.388672916085866 0.634851936218679 0.00452245735445215 "ROTS"
"Snhg6" "Snhg6" 0 0 -0.16001178409403 "ROTS"
"Cops5" "Cops5" 0.131994284917759 0.343169398907104 -0.0142535056909931 "ROTS"
"Cspp1" "Cspp1" 0.114117298578199 0.312692307692308 -0.00855404467071309 "ROTS"
"Arfgef1" "Arfgef1" 0.286998745469752 0.539795114263199 -0.00562944192032804 "ROTS"
"A830018L16Rik" "A830018L16Rik" 0.448269514914971 0.681586762834111 0.00423682494575695 "ROTS"
"Tram1" "Tram1" 0.184050738778924 0.4181240063593 0.00899618248637556 "ROTS"
"Stau2" "Stau2" 0.0745246027320881 0.238610735227785 0.0140016779146839 "ROTS"
"Ube2w" "Ube2w" 0.000269654307220519 0.00176056338028169 0.0481873989584559 "ROTS"
"Tceb1" "Tceb1" 0 0 0.138378492863641 "ROTS"
"Tmem70" "Tmem70" 0.00581913855589629 0.0377541142303969 0.0244602956559842 "ROTS"
"Gdap1" "Gdap1" 0.0581437831056593 0.203666997026759 -0.0139518746542974 "ROTS"
"Paqr8" "Paqr8" 0.19077690270421 0.426337191116672 -0.00772881000129796 "ROTS"
"Tmem14a" "Tmem14a" 0.0915984806244773 0.271779908295123 0.0109639467905715 "ROTS"
"Rims1" "Rims1" 0.0863034569277948 0.262505344164173 -0.0113918264147523 "ROTS"
"Ogfrl1" "Ogfrl1" 0.219008572623362 0.462378282679256 -0.00733132107633146 "ROTS"
"B3gat2" "B3gat2" 0.00681154167828269 0.0427509293680297 -0.0205131195108891 "ROTS"
"Smap1" "Smap1" 3.06662949540006e-06 0 -0.0790648848791611 "ROTS"
"Sdhaf4" "Sdhaf4" 0.0678197658210204 0.225352112676056 0.0169827779120666 "ROTS"
"Lmbrd1" "Lmbrd1" 0.926373640925565 0.968800116635078 0.000477749824433465 "ROTS"
"Adgrb3" "Adgrb3" 0.450218845832172 0.683107535986452 0.00389857780229859 "ROTS"
"Phf3" "Phf3" 0.0535722051853917 0.190716448032291 -0.0123460542061631 "ROTS"
"Ptp4a1" "Ptp4a1" 0.00240855868413716 0.0175233644859813 0.0475710836111728 "ROTS"
"Khdrbs2" "Khdrbs2" 0.0520618901589072 0.187149413564508 0.0119327005329284 "ROTS"
"Bag2" "Bag2" 0.766185879565096 0.891068244448047 0.00154256227465949 "ROTS"
"Zfp451" "Zfp451" 0.868729160858656 0.948561862730178 0.00087918820150051 "ROTS"
"Bend6" "Bend6" 3.48480624477279e-07 0 0.0930593332883051 "ROTS"
"Dst" "Dst" 0.138406816281015 0.350976909413854 -0.00975447728967979 "ROTS"
"Ccdc115" "Ccdc115" 0.540500906049624 0.748311136846169 -0.00356039759870635 "ROTS"
"Imp4" "Imp4" 0.693230763869529 0.851420746319754 0.0021348462100087 "ROTS"
"Ptpn18" "Ptpn18" 0.137804572065793 0.349928876244666 -0.00803151207585144 "ROTS"
"Arhgef4" "Arhgef4" 0.177159046557011 0.408064516129032 0.0103847161291139 "ROTS"
"Fam168b" "Fam168b" 0.074941315862838 0.238973897389739 -0.0144507774764219 "ROTS"
"Plekhb2" "Plekhb2" 0.0146839280735991 0.0763416477702192 0.0251853882856975 "ROTS"
"Kansl3" "Kansl3" 0.647014984666852 0.822872340425532 -0.00220071503826182 "ROTS"
"Ankrd39" "Ankrd39" 0.508578547532757 0.726349332802231 -0.00341426787098626 "ROTS"
"Cox5b" "Cox5b" 0 0 -0.331596734700107 "ROTS"
"Actr1b" "Actr1b" 0.870680861444104 0.94909588208479 -0.00103991082003277 "ROTS"
"Inpp4a" "Inpp4a" 0.0438352383607471 0.166936790923825 0.015256064065736 "ROTS"
"Coa5" "Coa5" 0.0237005854474491 0.107843137254902 -0.0171568215639549 "ROTS"
"Unc50" "Unc50" 0.994040772233064 0.997203188365264 3.80887838171001e-05 "ROTS"
"Tsga10" "Tsga10" 0.810119528854196 0.916653537104144 -0.00113985204013634 "ROTS"
"Mitd1" "Mitd1" 0.688802899358796 0.849510393403195 -0.0020138189320802 "ROTS"
"Txndc9" "Txndc9" 0.986173613047115 0.994937420897201 -0.000121228097526821 "ROTS"
"Eif5b" "Eif5b" 9.08837468636744e-05 0 -0.0595573360369899 "ROTS"
"Aff3" "Aff3" 0.844980763869529 0.935513730330145 -0.000933208673452004 "ROTS"
"Lonrf2" "Lonrf2" 0.157691037078338 0.383032981978919 -0.0088489147809316 "ROTS"
"Chst10" "Chst10" 0.22551352104823 0.46969696969697 0.00653888694131067 "ROTS"
"Pdcl3" "Pdcl3" 0.432405631446892 0.669764426194078 0.00513837106253849 "ROTS"
"Cnot11" "Cnot11" 0.458360747142459 0.688455897758223 -0.00383150405645548 "ROTS"
"Rnf149" "Rnf149" 0.818797741845553 0.920978363123236 -0.00126623450735371 "ROTS"
"Creg2" "Creg2" 0.163677794814608 0.390839184219325 -0.00799730580426877 "ROTS"
"Map4k4" "Map4k4" 0.000876568162810148 0.00709219858156028 -0.0318957082241181 "ROTS"
"Pantr1" "Pantr1" 0.00614615277390577 0.039272030651341 -0.0661753459000436 "ROTS"
"Pou3f3" "Pou3f3" 0.161821159743518 0.388179986568167 -0.010069094660401 "ROTS"
"AI597479" "AI597479" 0.982176191803736 0.993373748766389 -0.00010663520671466 "ROTS"
"Fhl2" "Fhl2" 0.502572553666016 0.721632979787873 0.00346554380842721 "ROTS"
"Uxs1" "Uxs1" 0.765129565096181 0.890726329442283 -0.00147548852881638 "ROTS"
"Tpp2" "Tpp2" 0.086048647895177 0.261874197689345 -0.00973600188663319 "ROTS"
"Tex30" "Tex30" 0.471986130471146 0.698864809081527 0.00360243583462399 "ROTS"
"Ercc5" "Ercc5" 0.587886046835796 0.780862483805293 -0.00262190067583158 "ROTS"
"Wdr75" "Wdr75" 0.899017981600223 0.957961972667855 0.000634389111132963 "ROTS"
"Slc39a10" "Slc39a10" 0.0758476442709785 0.240500670540903 -0.0109653525277598 "ROTS"
"Tmeff2" "Tmeff2" 0.0464607610816839 0.17338282078473 0.0124512836756895 "ROTS"
