"gene" "pval" "padj" "logfc" "method"
"Lypla1" "Lypla1" 0.908001495852579 0.953873587823459 -0.00507416378101168 "edgeR"
"Tcea1" "Tcea1" 0.699970847170586 0.852996578495293 0.0215192390032092 "edgeR"
"Rgs20" "Rgs20" 0.40839658893413 0.641809975991663 -0.0409061396048023 "edgeR"
"Atp6v1h" "Atp6v1h" 0.393946262652829 0.62971713196778 -0.0424390178928294 "edgeR"
"Rb1cc1" "Rb1cc1" 0.0218741184340201 0.0946471204135466 0.0930348715708296 "edgeR"
"Pcmtd1" "Pcmtd1" 0.262818795259878 0.493943996958974 0.0583012919498624 "edgeR"
"Rrs1" "Rrs1" 0.688466927809058 0.844572800975065 -0.0188477139815167 "edgeR"
"Adhfe1" "Adhfe1" 0.000109901894037217 0.00127578671168769 0.185041893956608 "edgeR"
"3110035E14Rik" "3110035E14Rik" 0.237523745784128 0.467488436832738 0.0625066851847877 "edgeR"
"Vcpip1" "Vcpip1" 0.150195259903379 0.353163157832462 -0.0546233186576723 "edgeR"
"Snhg6" "Snhg6" 1.09165378783671e-13 6.16655454640988e-12 0.327016357591237 "edgeR"
"Cops5" "Cops5" 0.890082733562054 0.945332482193906 0.00745342579717511 "edgeR"
"Cspp1" "Cspp1" 0.0252435295451128 0.104201468760222 0.0770972682820728 "edgeR"
"Arfgef1" "Arfgef1" 0.257289955115953 0.488177238297235 0.0432710803104939 "edgeR"
"A830018L16Rik" "A830018L16Rik" 0.227122136387241 0.453870139903033 -0.053263236407247 "edgeR"
"Tram1" "Tram1" 0.0768866283790742 0.224861260493876 -0.0931291812920069 "edgeR"
"Stau2" "Stau2" 0.0227922573234572 0.0972699518877863 -0.12397742026296 "edgeR"
"Ube2w" "Ube2w" 3.59764124644673e-07 7.89280682018618e-06 -0.280490906790491 "edgeR"
"Tceb1" "Tceb1" 1.075127163499e-14 6.37434898424946e-13 -0.328168275778705 "edgeR"
"Tmem70" "Tmem70" 4.21347744036515e-05 0.000560806811821514 -0.213831197095595 "edgeR"
"Gdap1" "Gdap1" 0.14761334696237 0.349497739639617 0.0754151745817512 "edgeR"
"Paqr8" "Paqr8" 0.259739593974255 0.4912659760536 0.0508704025433158 "edgeR"
"Tmem14a" "Tmem14a" 0.0162766974806109 0.076170272489173 -0.112255563660935 "edgeR"
"Rims1" "Rims1" 0.13846005004974 0.335918971612052 0.0727396502278271 "edgeR"
"Ogfrl1" "Ogfrl1" 0.339314878238845 0.579444164838246 0.0444312327028002 "edgeR"
"B3gat2" "B3gat2" 0.000267790062041825 0.00278437510410766 0.163411552838131 "edgeR"
"Smap1" "Smap1" 1.56693850875151e-05 0.000241227829652002 0.216601804146453 "edgeR"
"Sdhaf4" "Sdhaf4" 0.0230415497990116 0.0980427510427692 -0.125095100835815 "edgeR"
"Lmbrd1" "Lmbrd1" 0.679290853809092 0.838838838179152 -0.0163028917539056 "edgeR"
"Adgrb3" "Adgrb3" 0.196510196520679 0.415889536780254 -0.047205092005777 "edgeR"
"Phf3" "Phf3" 0.0273455462519502 0.11014988703621 0.0987737205774256 "edgeR"
"Ptp4a1" "Ptp4a1" 0.000112901334605992 0.00130427403295231 -0.183584065195274 "edgeR"
"Khdrbs2" "Khdrbs2" 0.000526775102725998 0.00495942859180618 -0.127413639562964 "edgeR"
"Bag2" "Bag2" 0.505492022888994 0.726733421283696 -0.0264314843956824 "edgeR"
"Zfp451" "Zfp451" 0.605610741478147 0.793978702369193 -0.0218229090098363 "edgeR"
"Bend6" "Bend6" 1.10561873697798e-12 5.70626533746765e-11 -0.376372016164041 "edgeR"
"Dst" "Dst" 0.291900598933816 0.527612722789417 0.0534346519534887 "edgeR"
"Ccdc115" "Ccdc115" 0.843075332041231 0.924380625410941 0.0097121289238105 "edgeR"
"Imp4" "Imp4" 0.433503620434535 0.662397526406595 -0.0338809966081091 "edgeR"
"Ptpn18" "Ptpn18" 0.0495053106522728 0.165109762259138 0.0717035574335379 "edgeR"
"Arhgef4" "Arhgef4" 0.0785224229600194 0.228805792979358 -0.0975722396818282 "edgeR"
"Fam168b" "Fam168b" 0.360666470517085 0.600850752463024 0.0502457304323945 "edgeR"
"Plekhb2" "Plekhb2" 0.00212817911167688 0.0155950530614606 -0.168241381618175 "edgeR"
"Kansl3" "Kansl3" 0.648168630506644 0.821548040379665 0.014822235840131 "edgeR"
"Ankrd39" "Ankrd39" 0.579281697738373 0.777650991686955 0.0214266031288757 "edgeR"
"Cox5b" "Cox5b" 0.01749223999631 0.0799804523476913 0.0520541076983009 "edgeR"
"Actr1b" "Actr1b" 0.670363502407712 0.833694012920493 -0.0227076607992963 "edgeR"
"Inpp4a" "Inpp4a" 0.00669435393972509 0.0381153136218951 -0.141190888073766 "edgeR"
"Coa5" "Coa5" 0.028458540429507 0.113108902515946 0.109525028233528 "edgeR"
"Unc50" "Unc50" 0.625554680966308 0.807581299487547 -0.0251630488143895 "edgeR"
"Tsga10" "Tsga10" 0.890195055833667 0.945332482193906 0.00458420725819057 "edgeR"
"Mitd1" "Mitd1" 0.777813526036588 0.894250067569368 0.0112728661434691 "edgeR"
"Txndc9" "Txndc9" 0.537652693428252 0.749246391346985 -0.0335301091370852 "edgeR"
"Eif5b" "Eif5b" 0.00107309970347002 0.00885893817341077 0.176824114059485 "edgeR"
"Aff3" "Aff3" 0.953783710964925 0.977751735694363 0.00199463738414 "edgeR"
"Lonrf2" "Lonrf2" 0.272434893840345 0.505678636070023 0.0527649083562764 "edgeR"
"Chst10" "Chst10" 0.0450235299791651 0.15519861319085 -0.0743312063480463 "edgeR"
"Pdcl3" "Pdcl3" 0.225839996065544 0.452436786309471 -0.064519437211197 "edgeR"
"Cnot11" "Cnot11" 0.496514646875993 0.717854912673997 0.026118427163324 "edgeR"
"Rnf149" "Rnf149" 0.919948205142052 0.960236930552755 -0.00431638052518166 "edgeR"
"Creg2" "Creg2" 0.156363612996639 0.361622359651156 0.0602100053742573 "edgeR"
"Map4k4" "Map4k4" 3.83853828011071e-05 0.00051957874757574 0.211382066010551 "edgeR"
"Pantr1" "Pantr1" 0.946859253273896 0.973733985519915 -0.0021287275101155 "edgeR"
"Pou3f3" "Pou3f3" 0.512832028125697 0.732176667995844 0.0354179230086295 "edgeR"
"AI597479" "AI597479" 0.82215576763773 0.915858180108733 -0.00857787891285983 "edgeR"
"Fhl2" "Fhl2" 0.242822726369585 0.473629755023219 -0.0443058428621021 "edgeR"
"Uxs1" "Uxs1" 0.84974185350992 0.928301825450679 0.0101502190243466 "edgeR"
"Tpp2" "Tpp2" 0.0197818919880943 0.0876020327917212 0.0852471995609393 "edgeR"
