"gene" "pval" "padj" "logfc" "method"
"Lypla1" "Lypla1" 0.916556195872219 0.961452573356821 0 "monocle"
"Tcea1" "Tcea1" 0.550818912938468 0.755786402806427 0 "monocle"
"Rgs20" "Rgs20" 0.464133691289647 0.689557797769807 0 "monocle"
"Atp6v1h" "Atp6v1h" 0.514211678830123 0.727576414462704 0 "monocle"
"Rb1cc1" "Rb1cc1" 0.0202585718625707 0.0906643758840187 0 "monocle"
"Pcmtd1" "Pcmtd1" 0.0986379851997764 0.271642574212359 0 "monocle"
"Rrs1" "Rrs1" 0.963191751712184 0.985204648215132 0 "monocle"
"Adhfe1" "Adhfe1" 6.33994591318577e-05 0.00084540468366533 0 "monocle"
"3110035E14Rik" "3110035E14Rik" 0.19959995302731 0.423022175189932 0 "monocle"
"Vcpip1" "Vcpip1" 0.25299268227948 0.488814840472123 0 "monocle"
"Snhg6" "Snhg6" 1.59460848786839e-10 6.7292478188046e-09 0 "monocle"
"Cops5" "Cops5" 0.584866402519364 0.779843104858868 0 "monocle"
"Cspp1" "Cspp1" 0.00572159193684161 0.0344062871373862 0 "monocle"
"Arfgef1" "Arfgef1" 0.26870461763478 0.504186833787825 0 "monocle"
"A830018L16Rik" "A830018L16Rik" 0.44856593527321 0.676458128700951 0 "monocle"
"Tram1" "Tram1" 0.0992338917893442 0.27265566438022 0 "monocle"
"Stau2" "Stau2" 0.0459779237510438 0.162565611133558 0 "monocle"
"Ube2w" "Ube2w" 1.91916945256949e-06 3.86744990245324e-05 0 "monocle"
"Tceb1" "Tceb1" 3.2251564545598e-13 1.928106033751e-11 0 "monocle"
"Tmem70" "Tmem70" 0.000145290192759514 0.00170312392623652 0 "monocle"
"Gdap1" "Gdap1" 0.0701194841839684 0.217765012786056 0 "monocle"
"Paqr8" "Paqr8" 0.294936428438468 0.532965727359589 0 "monocle"
"Tmem14a" "Tmem14a" 0.0427241989594424 0.154409774979869 0 "monocle"
"Rims1" "Rims1" 0.054509325631231 0.182053027038385 0 "monocle"
"Ogfrl1" "Ogfrl1" 0.231695226930354 0.464426252584063 0 "monocle"
"B3gat2" "B3gat2" 0.000362647297695556 0.00372726606542682 0 "monocle"
"Smap1" "Smap1" 4.69426708081479e-06 8.56912774497845e-05 0 "monocle"
"Sdhaf4" "Sdhaf4" 0.0683933977404337 0.213560489865074 0 "monocle"
"Lmbrd1" "Lmbrd1" 0.971459543681916 0.988967045036762 0 "monocle"
"Adgrb3" "Adgrb3" 0.307601044119979 0.546252614119756 0 "monocle"
"Phf3" "Phf3" 0.00320642197366502 0.0221821323424039 0 "monocle"
"Ptp4a1" "Ptp4a1" 0.000600186795333628 0.00560643238245241 0 "monocle"
"Khdrbs2" "Khdrbs2" 0.000463493917831925 0.00448127407887632 0 "monocle"
"Bag2" "Bag2" 0.851437464312716 0.934047823348128 0 "monocle"
"Zfp451" "Zfp451" 0.795595373512631 0.905065325390893 0 "monocle"
"Bend6" "Bend6" 2.45243869555042e-10 9.93999728919703e-09 0 "monocle"
"Dst" "Dst" 0.144093591110939 0.345754402528159 0 "monocle"
