"gene" "pval" "padj" "logfc" "method"
"Fau" "Fau" 9.83846210867549e-228 7.05811271676379e-224 -0.385756100332172 "seurat"
"Ptgds" "Ptgds" 6.71515280359499e-166 4.81745062129905e-162 -1.35463907648275 "seurat"
"Eef1a1" "Eef1a1" 4.93146644411738e-153 3.53783402700981e-149 -0.355939273776803 "seurat"
"Calm2" "Calm2" 8.54125575146613e-127 6.1274968761018e-123 0.49192506361972 "seurat"
"Malat1" "Malat1" 4.0636252180662e-117 2.91524473144069e-113 -0.875662748028868 "seurat"
"Kif1a" "Kif1a" 8.61816094013953e-108 6.1826686584561e-104 -0.419293845203148 "seurat"
"Stmn2" "Stmn2" 2.31183126019813e-100 1.65850774606614e-96 -0.2362578480149 "seurat"
"Tmsb10" "Tmsb10" 3.11429559989227e-100 2.23419566336272e-96 -0.158702530289748 "seurat"
"Cox4i1" "Cox4i1" 6.26069734958359e-95 4.49142427859127e-91 -0.190516939014072 "seurat"
"Fabp5" "Fabp5" 1.73148878813768e-93 1.24217005660997e-89 -0.2657903920407 "seurat"
"Tpt1" "Tpt1" 4.28238024751587e-91 3.07217958956789e-87 -0.33291381379715 "seurat"
"Fth1" "Fth1" 6.12456272213236e-89 4.39376129685776e-85 -0.144873470230644 "seurat"
"Hsp90ab1" "Hsp90ab1" 6.05874841014706e-88 4.3465461094395e-84 -0.332261856034598 "seurat"
"Tmsb4x" "Tmsb4x" 2.33746428921365e-84 1.67689688108188e-80 -0.160606947119946 "seurat"
"Cox8a" "Cox8a" 1.83961463540909e-80 1.31973953944248e-76 -0.159694019562319 "seurat"
"Gapdh" "Gapdh" 1.04027392353871e-75 7.46292512746668e-72 -0.289176138544685 "seurat"
"Basp1" "Basp1" 2.99295897271156e-72 2.14714876702327e-68 -0.27185970244836 "seurat"
"Gnb2l1" "Gnb2l1" 6.97992513904771e-72 5.00739829475283e-68 -0.423923959978327 "seurat"
"Ppia" "Ppia" 2.40498422654999e-69 1.72533568412696e-65 -0.149627569698388 "seurat"
"Fabp7" "Fabp7" 1.14430993156765e-61 8.2092794490663e-58 -0.146238363454574 "seurat"
"Pebp1" "Pebp1" 9.33216333875316e-61 6.69489397922152e-57 -0.249361522762381 "seurat"
"Uqcrh" "Uqcrh" 4.40974657912675e-60 3.16355219586553e-56 -0.22147585082711 "seurat"
"Dynlt1a" "Dynlt1a" 2.09217954346692e-58 1.50092960448317e-54 -0.491749749366695 "seurat"
"Hbb-bs" "Hbb-bs" 2.95150796831953e-58 2.11741181647243e-54 -0.689576673104577 "seurat"
"Cldn5" "Cldn5" 4.49549355492918e-53 3.2250670763062e-49 -0.477315387168569 "seurat"
"Actg1" "Actg1" 2.56232766815263e-52 1.8382138691327e-48 -0.202434675357454 "seurat"
"Cox6c" "Cox6c" 3.37994773954583e-52 2.42477450835018e-48 -0.110748587447425 "seurat"
"Eef1b2" "Eef1b2" 7.65139838868074e-52 5.48911320403956e-48 -0.297059318686088 "seurat"
"Atp5g2" "Atp5g2" 2.76742135574027e-50 1.98534808060807e-46 -0.282114219573623 "seurat"
"Naca" "Naca" 4.9878320987306e-50 3.57827074762933e-46 -0.245202388434574 "seurat"
"Ubc" "Ubc" 1.8677900642038e-48 1.33995259205981e-44 0.5787463294978 "seurat"
"Mapt" "Mapt" 5.43634730499866e-48 3.90003555660604e-44 -0.275425937640196 "seurat"
"Hist1h2al" "Hist1h2al" 2.32106227944878e-47 1.66513007927655e-43 -0.431264279279588 "seurat"
"Nnat" "Nnat" 6.79653257670066e-45 4.87583247052506e-41 -0.210208252877159 "seurat"
"Bsg" "Bsg" 8.55534805333065e-44 6.13760669345941e-40 -0.352943126846824 "seurat"
"Hsp90aa1" "Hsp90aa1" 1.60262103830461e-42 1.14972033287973e-38 -0.305647839035637 "seurat"
"Igfbp7" "Igfbp7" 4.06030894988357e-42 2.91286564064647e-38 -0.37618619156464 "seurat"
"Tma7" "Tma7" 7.42649356542673e-41 5.32776648383713e-37 -0.138723333315264 "seurat"
"Tubb2b" "Tubb2b" 9.46465195731033e-41 6.78994131417443e-37 -0.144865698309858 "seurat"
"Cox7b" "Cox7b" 1.2346192218153e-40 8.85715829730295e-37 -0.166568434899579 "seurat"
"Pfdn5" "Pfdn5" 1.91239874091016e-40 1.37195485672895e-36 -0.17780391209509 "seurat"
"Cox7a2l" "Cox7a2l" 3.25496524187405e-40 2.33511206452044e-36 -0.220010637524793 "seurat"
"Eef1g" "Eef1g" 9.45641621961212e-40 6.78403299594973e-36 -0.197931634620727 "seurat"
"Cox6b1" "Cox6b1" 1.30691232827632e-38 9.37578904305431e-35 -0.0887485315128949 "seurat"
"H3f3a" "H3f3a" 1.00951783948351e-37 7.24228098045472e-34 -0.241433700236662 "seurat"
"Stmn3" "Stmn3" 1.25487450845811e-37 9.00246972367852e-34 -0.16181388658232 "seurat"
"Myeov2" "Myeov2" 1.4504810097935e-37 1.04057507642586e-33 -0.166279802689603 "seurat"
"Atp5h" "Atp5h" 8.70672671958376e-37 6.24620574862939e-33 -0.18082458911251 "seurat"
"Ndufb9" "Ndufb9" 4.8944177637997e-36 3.5112553037499e-32 -0.149212711433373 "seurat"
"Tbca" "Tbca" 5.37435234157075e-36 3.85556036984286e-32 -0.19829198890045 "seurat"
"Cox7a2" "Cox7a2" 3.0603585563995e-35 2.195501228361e-31 -0.101869066125833 "seurat"
"Ptma" "Ptma" 3.29945759762773e-35 2.36703088053813e-31 -0.188757918776943 "seurat"
"Snrpg" "Snrpg" 1.49786293676675e-34 1.07456687083647e-30 -0.21731089601619 "seurat"
"Son" "Son" 2.71478273750367e-34 1.94758513588513e-30 -0.335247994182537 "seurat"
"Hba-a1" "Hba-a1" 7.78334060190652e-33 5.58376854780774e-29 -0.470074903286 "seurat"
"Pcp4" "Pcp4" 1.19731415847123e-32 8.58953177287258e-29 -0.226264845387343 "seurat"
"Mif" "Mif" 3.33183228349263e-31 2.39025648017761e-27 -0.101549772279107 "seurat"
"Npm1" "Npm1" 1.15326990865876e-30 8.27355832471791e-27 -0.31173943943461 "seurat"
"Mllt11" "Mllt11" 2.12013307620325e-30 1.52098346886821e-26 0.340935166267835 "seurat"
"Smdt1" "Smdt1" 1.27543390285885e-29 9.14996281910938e-26 -0.152546193830182 "seurat"
"Ncs1" "Ncs1" 1.80752256044963e-29 1.29671668486657e-25 0.529505124871745 "seurat"
"Atp5e" "Atp5e" 3.95574959947043e-29 2.83785476266009e-25 -0.102201923055784 "seurat"
"Hspe1" "Hspe1" 6.08993940826815e-29 4.36892253149157e-25 -0.169459840821399 "seurat"
"Gpx4" "Gpx4" 7.43820832879201e-29 5.33617065507539e-25 -0.139656003634747 "seurat"
"Pglyrp1" "Pglyrp1" 9.74033468441448e-29 6.98771610259895e-25 -0.287375389174957 "seurat"
"Eef1d" "Eef1d" 1.24307445579817e-28 8.91781614589608e-25 -0.312465466043859 "seurat"
"Atp5j2" "Atp5j2" 1.83897769775377e-28 1.31928260036855e-24 -0.0961088563179238 "seurat"
"Cox7c" "Cox7c" 3.70538159753556e-28 2.65824075807201e-24 -0.0617316869269144 "seurat"
"Vps8" "Vps8" 2.77664470536901e-27 1.99196491163173e-23 -0.320100108479655 "seurat"
"Ctla2a" "Ctla2a" 3.03028673425416e-27 2.17392770315393e-23 -0.27332506747986 "seurat"
"2010107E04Rik" "2010107E04Rik" 6.45150400909279e-27 4.62830897612317e-23 -0.0912541822325195 "seurat"
"Eef2" "Eef2" 2.03608651470736e-26 1.46068846565106e-22 -0.167730661594919 "seurat"
"Hba-a2" "Hba-a2" 2.89763827492059e-26 2.07876569842803e-22 -0.39030118448515 "seurat"
"Mt2" "Mt2" 4.48847395722317e-26 3.2200312169119e-22 -0.290012004251193 "seurat"
"Ubl5" "Ubl5" 5.2053950468425e-26 3.73435040660481e-22 -0.121722896983048 "seurat"
"Atp5d" "Atp5d" 1.19463354466929e-25 8.5703010494575e-22 -0.157664490128611 "seurat"
"Prdx2" "Prdx2" 2.13441047991072e-25 1.53122607828795e-21 -0.139445692125372 "seurat"
"Map1b" "Map1b" 2.32492528838202e-25 1.66790140188526e-21 -0.146215035141544 "seurat"
"Zfos1" "Zfos1" 6.65082882964725e-25 4.77130460238894e-21 -0.321787257345076 "seurat"
"Tubb5" "Tubb5" 8.31488860650943e-25 5.96510108630986e-21 -0.1030320925843 "seurat"
"Ccnd2" "Ccnd2" 2.9968376379153e-24 2.14993132144044e-20 -0.238719316786053 "seurat"
"Top1" "Top1" 3.45890495584297e-24 2.48141841532175e-20 -0.296563365811115 "seurat"
"Ywhah" "Ywhah" 3.9609317417625e-24 2.84157243154042e-20 0.373801632736396 "seurat"
"Mt3" "Mt3" 5.21305314492e-24 3.73984432616561e-20 -0.0884249661022167 "seurat"
"Snrpe" "Snrpe" 7.32331853943073e-24 5.2537487201876e-20 -0.241912387286033 "seurat"
"1810022K09Rik" "1810022K09Rik" 9.95377217449774e-24 7.14083615798468e-20 -0.273708145384567 "seurat"
"Snrpn" "Snrpn" 1.10288209562252e-23 7.91207615399592e-20 0.298944200465765 "seurat"
"Meis2" "Meis2" 1.37842056392884e-23 9.88878912562552e-20 -0.320773889334661 "seurat"
"Gabarap" "Gabarap" 1.55320618856447e-23 1.11427011967615e-19 -0.146971486852906 "seurat"
"Banf1" "Banf1" 2.4822724988528e-23 1.780782290677e-19 -0.248677704421653 "seurat"
"Nrgn" "Nrgn" 3.94152404201105e-23 2.82764934773872e-19 0.30131840978563 "seurat"
"Uchl1" "Uchl1" 3.9734208309768e-23 2.85053210414276e-19 -0.179956235348179 "seurat"
"Ndufa2" "Ndufa2" 4.63686859647302e-23 3.32648953110975e-19 -0.0979731176036043 "seurat"
"Camk2n1" "Camk2n1" 6.02533520053249e-23 4.32257547286201e-19 -0.132292986593739 "seurat"
"Eif3f" "Eif3f" 1.67447636888157e-22 1.20126934703564e-18 -0.156758741624314 "seurat"
"Ybx1" "Ybx1" 1.79296710380633e-22 1.28627460027066e-18 -0.0428929646081975 "seurat"
"Igfbpl1" "Igfbpl1" 2.33548806773747e-22 1.67547913979486e-18 -0.247097443682336 "seurat"
"Apc" "Apc" 2.97224145104656e-22 2.13228601698081e-18 -0.180208803478454 "seurat"
"Hint1" "Hint1" 5.97375038333603e-22 4.28556852500527e-18 -0.0806450537937895 "seurat"
"Capza2" "Capza2" 2.20232447961708e-21 1.5799475816773e-17 0.410788571297159 "seurat"
"Gng5" "Gng5" 2.25815884438275e-21 1.62000315496019e-17 -0.16560582121938 "seurat"
"1700097N02Rik" "1700097N02Rik" 5.02931286022286e-21 3.60802904592388e-17 -0.218191742553768 "seurat"
"Tomm7" "Tomm7" 3.24358837236558e-20 2.32695029833507e-16 -0.12943799174375 "seurat"
"Rbp1" "Rbp1" 3.56336348086144e-20 2.55635696116999e-16 -0.333503275118591 "seurat"
"Ssb" "Ssb" 3.75168755575851e-20 2.69146065250115e-16 -0.276349895544043 "seurat"
"Nsa2" "Nsa2" 7.54485255701456e-20 5.41267722440224e-16 -0.252554897790398 "seurat"
"Use1" "Use1" 1.21052206044996e-19 8.68428526166798e-16 -0.27197852336223 "seurat"
"Tceb2" "Tceb2" 3.57821623025774e-19 2.5670123235869e-15 -0.06278023154298 "seurat"
"Snhg6" "Snhg6" 3.86376965640116e-19 2.7718683515022e-15 -0.193871691029438 "seurat"
"Eif2s2" "Eif2s2" 1.16995597356462e-18 8.3932641543526e-15 -0.162109194628381 "seurat"
"Uba52" "Uba52" 1.19440150973939e-18 8.56863643087036e-15 -0.128504016512412 "seurat"
"Snrpd1" "Snrpd1" 1.26181965860152e-18 9.0522942308073e-15 -0.220166743105521 "seurat"
"Nedd8" "Nedd8" 2.38691134101578e-18 1.71237019604472e-14 -0.100093132888052 "seurat"
"Bola2" "Bola2" 4.23830287099497e-18 3.04055847965179e-14 -0.122198013805263 "seurat"
"Tmem256" "Tmem256" 4.32225382006549e-18 3.10078489051498e-14 -0.083603024825035 "seurat"
"AY036118" "AY036118" 6.65567976422947e-18 4.77478466285822e-14 -0.237553728492633 "seurat"
"Lmo4" "Lmo4" 6.76937855492545e-18 4.85635217530352e-14 -0.234543991841638 "seurat"
"Ftl1" "Ftl1" 7.27037044059134e-18 5.21576375408023e-14 0.00485822990503948 "seurat"
"Timm8b" "Timm8b" 7.35483800773091e-18 5.27636078674616e-14 -0.0926632816066446 "seurat"
"Atxn7l3b" "Atxn7l3b" 1.62298932571148e-17 1.16433254226542e-13 -0.137862769166057 "seurat"
"Pdap1" "Pdap1" 6.4246295345203e-17 4.60902922806487e-13 -0.170953063641184 "seurat"
"Ndufa7" "Ndufa7" 7.68589791907134e-17 5.51386316714178e-13 -0.0725648170607816 "seurat"
"Hmgb2" "Hmgb2" 7.77188627820185e-17 5.57555121598201e-13 -0.269525130618626 "seurat"
"Pcsk1n" "Pcsk1n" 9.6775509197933e-17 6.94267502985972e-13 -0.0674732201071797 "seurat"
"Anp32b" "Anp32b" 1.29719428588658e-16 9.30607180695033e-13 -0.243897816994064 "seurat"
"Wbp5" "Wbp5" 1.39939360338121e-16 1.00392497106568e-12 -0.204712269018581 "seurat"
"Olig1" "Olig1" 4.1879101854634e-16 3.00440676705144e-12 -0.21227445346929 "seurat"
"Polr1d" "Polr1d" 6.78946492903097e-16 4.87076214008682e-12 -0.188415059426258 "seurat"
"Vamp2" "Vamp2" 1.14143853027247e-15 8.18868001617472e-12 0.271860106944428 "seurat"
"Ccdc34" "Ccdc34" 1.64384785681932e-15 1.17929645248218e-11 -0.237078855283645 "seurat"
"Atp6v1g1" "Atp6v1g1" 2.31055821550127e-15 1.65759446380061e-11 0.304744073212322 "seurat"
"Cdk4" "Cdk4" 2.58979133911164e-15 1.85791630667869e-11 -0.21653041390003 "seurat"
"Qk" "Qk" 4.09981948939051e-15 2.94121050168875e-11 -0.213514493310946 "seurat"
"Psmg4" "Psmg4" 4.36853849553313e-15 3.13398951669546e-11 -0.206072690552829 "seurat"
"Nenf" "Nenf" 4.7072961506383e-15 3.37701425846792e-11 -0.140913663514426 "seurat"
"Clta" "Clta" 4.80733571127165e-15 3.44878263926629e-11 -0.160220770773951 "seurat"
"Fis1" "Fis1" 5.95159685569558e-15 4.26967558427601e-11 -0.132014749625788 "seurat"
"Psma7" "Psma7" 7.00590934556661e-15 5.02603936450949e-11 -0.100366343346206 "seurat"
"Arpp21" "Arpp21" 7.12594992165815e-15 5.11215647379755e-11 -0.241444523176637 "seurat"
"Gas7" "Gas7" 9.08072963472125e-15 6.51451543994902e-11 0.376258727982701 "seurat"
"Ndn" "Ndn" 9.55903452201527e-15 6.85765136609375e-11 -0.16625765081747 "seurat"
"Ttc3" "Ttc3" 1.15075976777719e-14 8.25555057403353e-11 -0.144405450188988 "seurat"
"Taf10" "Taf10" 1.59710235219394e-14 1.14576122746393e-10 -0.187315101474321 "seurat"
"Meaf6" "Meaf6" 1.67078318530296e-14 1.19861985713634e-10 -0.222378712899938 "seurat"
"Sox4" "Sox4" 1.81447308001045e-14 1.30170298759949e-10 -0.15347268167387 "seurat"
"Ap3s1" "Ap3s1" 1.89938926644136e-14 1.36262185974503e-10 0.309040884182882 "seurat"
"Ywhaq" "Ywhaq" 2.25410413086072e-14 1.61709430347948e-10 0.292355425826006 "seurat"
"Sncb" "Sncb" 2.7205832030753e-14 1.95174638988622e-10 0.29879881980478 "seurat"
"Scand1" "Scand1" 2.82612276111909e-14 2.02746046882684e-10 -0.155933724725814 "seurat"
"Kif1b" "Kif1b" 3.99817522318641e-14 2.86829090511393e-10 -0.197341676138394 "seurat"
