"gene" "pval" "padj" "logfc" "method"
"Calm2" "Calm2" 6.62853359923577e-234 4.75531000409174e-230 0.49192506361972 "seurat"
"Ptgds" "Ptgds" 5.52123958395e-232 3.96093727752573e-228 -1.35463907648275 "seurat"
"Malat1" "Malat1" 1.19267969899832e-162 8.55628416061393e-159 -0.875662748028868 "seurat"
"Fau" "Fau" 5.46594595346117e-159 3.92126962701304e-155 -0.385756100332172 "seurat"
"Hbb-bs" "Hbb-bs" 4.45254648509996e-118 3.19425684841071e-114 -0.689576673104577 "seurat"
"Eef1a1" "Eef1a1" 1.03148005252912e-113 7.39983789684394e-110 -0.355939273776803 "seurat"
"Tmsb10" "Tmsb10" 4.34298034539862e-84 3.11565409978897e-80 -0.158702530289748 "seurat"
"Stmn2" "Stmn2" 3.49215639707594e-74 2.50527299926228e-70 -0.2362578480149 "seurat"
"Dynlt1a" "Dynlt1a" 9.00288299703388e-65 6.45866826207211e-61 -0.491749749366695 "seurat"
"Hist1h2al" "Hist1h2al" 1.82367900689916e-64 1.30830731954946e-60 -0.431264279279588 "seurat"
"Fabp5" "Fabp5" 3.13218557132423e-63 2.247029928868e-59 -0.2657903920407 "seurat"
"Cox4i1" "Cox4i1" 1.73698991735475e-60 1.2461165667103e-56 -0.190516939014072 "seurat"
"Ubc" "Ubc" 1.28002442594951e-59 9.18289523176178e-56 0.5787463294978 "seurat"
"Kif1a" "Kif1a" 1.78109269616507e-59 1.27775590022882e-55 -0.419293845203148 "seurat"
"Cldn5" "Cldn5" 3.0076583397492e-59 2.15769409293607e-55 -0.477315387168569 "seurat"
"Tmsb4x" "Tmsb4x" 1.48177055690705e-58 1.06302219752512e-54 -0.160606947119946 "seurat"
"Tpt1" "Tpt1" 2.40387342201604e-57 1.72453879295431e-53 -0.33291381379715 "seurat"
"Hsp90ab1" "Hsp90ab1" 4.46565656438749e-55 3.20366201929158e-51 -0.332261856034598 "seurat"
"Hba-a1" "Hba-a1" 5.90473547790744e-55 4.23605723185079e-51 -0.470074903286 "seurat"
"Mllt11" "Mllt11" 1.78847011040494e-53 1.2830484572045e-49 0.340935166267835 "seurat"
"Ppia" "Ppia" 1.76361862711541e-51 1.26522000309259e-47 -0.149627569698388 "seurat"
"Igfbp7" "Igfbp7" 3.28762991429263e-51 2.35854570051353e-47 -0.37618619156464 "seurat"
"Gnb2l1" "Gnb2l1" 6.68436987597123e-51 4.79536694902176e-47 -0.423923959978327 "seurat"
"Cox8a" "Cox8a" 2.31940982567621e-50 1.66394460894011e-46 -0.159694019562319 "seurat"
"Snrpn" "Snrpn" 3.64458526162471e-50 2.61462546668957e-46 0.298944200465765 "seurat"
"Fth1" "Fth1" 3.42287252931832e-47 2.45556875253296e-43 -0.144873470230644 "seurat"
"Basp1" "Basp1" 3.40569889697332e-46 2.44324838868866e-42 -0.27185970244836 "seurat"
"Nrgn" "Nrgn" 3.19443134789084e-45 2.29168504897689e-41 0.30131840978563 "seurat"
"Gapdh" "Gapdh" 2.46184651943183e-44 1.76612869304039e-40 -0.289176138544685 "seurat"
"Tuba1a" "Tuba1a" 2.48062615089588e-42 1.7796012006527e-38 0.117368154450715 "seurat"
"Hba-a2" "Hba-a2" 7.62952559802767e-41 5.47342166402505e-37 -0.39030118448515 "seurat"
"Pebp1" "Pebp1" 1.52689937738238e-40 1.09539761333412e-36 -0.249361522762381 "seurat"
"Fabp7" "Fabp7" 1.01464505161156e-35 7.2790636002613e-32 -0.146238363454574 "seurat"
