"gene" "pval" "padj" "logfc" "method"
"1" "Lypla1" 6.44404347067199e-88 1.69836766563559e-87 -0.164543858496063 "limmavoom"
"2" "Tcea1" 4.29042195438171e-22 5.1239365907665e-22 -0.157418830364256 "limmavoom"
"3" "Rgs20" 1.27719195167098e-77 2.85171959579446e-77 -0.183695210265104 "limmavoom"
"4" "Atp6v1h" 7.00921189238777e-70 1.41805093389706e-69 -0.183645379384166 "limmavoom"
"5" "Rb1cc1" 6.21065477175985e-81 1.44895080756439e-80 -0.146385574729345 "limmavoom"
"6" "Pcmtd1" 3.45606141922148e-39 4.93703397480982e-39 -0.149097242792815 "limmavoom"
"7" "Rrs1" 5.45390877559162e-72 1.13706310828522e-71 -0.16738504732773 "limmavoom"
"8" "Adhfe1" 2.77774034061986e-36 3.85519620886185e-36 -0.128763289641567 "limmavoom"
"9" "3110035E14Rik" 1.69754341958055e-31 2.2263576767954e-31 -0.153487065390239 "limmavoom"
"10" "Vcpip1" 1.74917659463257e-131 3.19302618063462e-130 -0.172985910876786 "limmavoom"
"11" "Snhg6" 0.528594281077756 0.532603282647728 -0.0177125034127446 "limmavoom"
"12" "Cops5" 1.22833065479355e-16 1.39563574873122e-16 -0.178250790609665 "limmavoom"
"13" "Cspp1" 1.55497036553005e-101 5.59726914315734e-101 -0.146120641210885 "limmavoom"
"14" "Arfgef1" 1.7972452256789e-97 5.81833810876373e-97 -0.151437440223868 "limmavoom"
"15" "A830018L16Rik" 6.3759343655009e-102 2.3289691007181e-101 -0.172357465726817 "limmavoom"
"16" "Tram1" 7.52054307697167e-68 1.47976895321434e-67 -0.193034786474971 "limmavoom"
"17" "Stau2" 7.51189967699745e-53 1.24832912399304e-52 -0.203749707793462 "limmavoom"
"18" "Ube2w" 1.40011722984946e-56 2.42093058735599e-56 -0.262260929708678 "limmavoom"
"19" "Tceb1" 7.31145145913908e-22 8.71735960908488e-22 -0.24016777437683 "limmavoom"
"20" "Tmem70" 1.46752899228978e-93 4.3289691573548e-93 -0.213307562068075 "limmavoom"
"21" "Gdap1" 3.02724475807564e-44 4.57209555672309e-44 -0.161730832056533 "limmavoom"
"22" "Paqr8" 1.86881237397599e-69 3.76491434173091e-69 -0.152361968079055 "limmavoom"
"23" "Tmem14a" 5.13877473458236e-99 1.72349555614277e-98 -0.184504267291573 "limmavoom"
"24" "Rims1" 1.08577007079204e-62 2.01378347669651e-62 -0.156671890940461 "limmavoom"
"25" "Ogfrl1" 8.55739235963623e-68 1.68239881578598e-67 -0.158123321339509 "limmavoom"
"26" "B3gat2" 6.14607920484468e-46 9.4374940529871e-46 -0.128054217438055 "limmavoom"
"27" "Smap1" 9.12586022687089e-05 9.52968286281976e-05 -0.092967828946639 "limmavoom"
"28" "Sdhaf4" 1.45359596550316e-33 1.949541494956e-33 -0.215251041509631 "limmavoom"
"29" "Lmbrd1" 2.10156447625513e-101 7.53078099533181e-101 -0.163217268494798 "limmavoom"
"30" "Adgrb3" 5.47931229691904e-128 7.38883203347692e-127 -0.16955262842162 "limmavoom"
"31" "Phf3" 2.11208244030664e-66 4.08411844387057e-66 -0.138036482544825 "limmavoom"
"32" "Ptp4a1" 6.52439552078073e-14 7.25112524648814e-14 -0.176205398501007 "limmavoom"
"33" "Khdrbs2" 1.78751525621487e-146 1.54501619856451e-144 -0.184342862316996 "limmavoom"
"34" "Bag2" 8.28504691242949e-101 2.92504559792171e-100 -0.165107978890651 "limmavoom"
"35" "Zfp451" 3.77928217708444e-101 1.34687383697982e-100 -0.170917197446013 "limmavoom"
"36" "Bend6" 1.16755100679054e-54 1.98201867551239e-54 -0.34367080351889 "limmavoom"
"37" "Dst" 5.58674593323935e-51 9.092403658135e-51 -0.153646224631644 "limmavoom"
"38" "Ccdc115" 1.51808780434931e-64 2.87559573504858e-64 -0.160942976760639 "limmavoom"
"39" "Imp4" 8.19286128839124e-105 3.25987725362833e-104 -0.174285450684402 "limmavoom"
"40" "Ptpn18" 1.45392370318831e-102 5.44102694140478e-102 -0.148248560666724 "limmavoom"
