"","gene","Pr..Chisq.","fdr","logfc"
"1810022K09Rik","1810022K09Rik",0.000268871085214796,0.00817322527682605,-0.210997743685544
"2010107E04Rik","2010107E04Rik",3.74765379613268e-07,1.88011666667523e-05,-0.620340875081739
"2700094K13Rik","2700094K13Rik",5.41522907604322e-07,2.66088036928315e-05,-0.424477700140621
"Acat2","Acat2",0.000487384345142889,0.0136581847345902,0.173948667263924
"Acsbg1","Acsbg1",0.00220521203571744,0.0494380973257404,0.216940913173963
"Actb","Actb",0.000869276614767796,0.0223519370406601,0.367062561651004
"Actg1","Actg1",1.47380031314209e-26,3.52434781549379e-24,-1.46814723954036
"Akap12","Akap12",0.00019224286109194,0.00604890476084903,-0.207676182133775
"Anapc11","Anapc11",1.04448970040144e-05,0.000413987243683973,-0.411333141248682
"Anapc13","Anapc13",3.72013375002497e-09,2.42620359297083e-07,-0.597922525417699
"Ank2","Ank2",1.11087515874832e-05,0.000435487343653577,-0.316744256841515
"Ap3s1","Ap3s1",2.86279576062298e-15,2.97647779517525e-13,0.644694798358645
"Apc","Apc",1.29393762203357e-10,9.77127210575668e-09,-0.7635718677729
"Arf5","Arf5",8.45240355593997e-07,4.04250287402089e-05,0.738807283565702
"Arl8a","Arl8a",5.60940527512749e-05,0.0019534890021245,0.35250329479199
"Arpc2","Arpc2",6.77621258277957e-05,0.00231488328899337,0.329309484586491
"Arpc5","Arpc5",2.63407414069804e-07,1.3793319624356e-05,0.408563380948691
"Atox1","Atox1",0.000539531688784634,0.014886924366696,-0.555601942584226
"Atp1a2","Atp1a2",0.00151188578530931,0.0363968745765403,-0.166087696663262
"Atp5d","Atp5d",9.68096315893256e-10,6.61440282877926e-08,-0.830201633888833
"Atp5e","Atp5e",6.70715140260421e-11,5.2875938639871e-09,-1.02123494055223
"Atp5f1","Atp5f1",0.00155378545560608,0.037208362518767,0.26870708488009
"Atp5g2","Atp5g2",3.41245645696752e-30,9.41575485472499e-28,-1.42638835027726
"Atp5g3","Atp5g3",0.000537443986378993,0.0148865759007062,-0.355713047831107
"Atp5h","Atp5h",8.29219329116024e-14,7.82739403562942e-12,-1.00038825317503
"Atp5j2","Atp5j2",6.31895146150127e-08,3.54157482693829e-06,-0.621331379341816
"Atp6v1g1","Atp6v1g1",1.64429781658392e-15,1.81479885171893e-13,0.790087488072161
"Atpif1","Atpif1",0.000270717883461984,0.00819464175508976,-0.306917649063598
"Atxn1","Atxn1",1.39312837043988e-05,0.000531611857954026,NA
"Atxn7l3b","Atxn7l3b",2.25508733251967e-05,0.000825407985892657,-0.532024970239735
"BC048546","BC048546",0.00148536223107675,0.0360192506621185,0.078955969904327
"Banf1","Banf1",0.00187836294739511,0.0436096303709143,-0.178159935536665
"Basp1","Basp1",1.98394353401806e-66,2.37213515217426e-63,-2.10649830778451
"Bend6","Bend6",1.67061133510125e-06,7.63373612612506e-05,0.250502927443244
"Bola2","Bola2",3.78268218787262e-09,2.44477135277461e-07,-0.784108199661578
"Bsg","Bsg",2.80876648790367e-20,4.68606762423743e-18,-0.570521591425166
"Bzw1","Bzw1",0.000440273639692733,0.0126848316913882,0.19544377957659
"Calm1","Calm1",1.84552353056434e-16,2.17045668988009e-14,0.453076551941775
"Calm2","Calm2",2.60046196464044e-184,1.86557141343305e-180,1.79806790653915
"Calm3","Calm3",5.65211933740104e-10,3.97532393397207e-08,0.948483069417767
"Camk2n1","Camk2n1",1.91877087141998e-11,1.5822140496054e-09,-0.91707884155517
"Capza2","Capza2",7.46296304903201e-17,9.07445710402638e-15,0.555747122702499
"Ccnd2","Ccnd2",6.05687856261567e-08,3.42142100852006e-06,-0.480051845907294
"Cd81","Cd81",3.96177457101674e-06,0.000172253156196813,0.510776322207015
"Cdk14","Cdk14",0.00148916006137956,0.0360192506621185,NA
"Cdk16","Cdk16",0.000276019703785271,0.00832002249981317,0.180664691398122
"Cdk4","Cdk4",2.46973036748025e-07,1.32222728778383e-05,-0.228280674453087
"Cetn3","Cetn3",0.00164910809390575,0.0389167811371049,0.194583237658415
"Cfl1","Cfl1",6.85264044231151e-17,8.47600733330048e-15,1.06074260001367
"Chd3","Chd3",0.000161609321904745,0.00510742412046098,-0.330968674487025
"Cldn5","Cldn5",1.48100215896196e-07,8.04902233969174e-06,-0.0825217859576431
"Cldnd1","Cldnd1",0.000899651970483453,0.0229683389190331,0.0760377418732359
"Clec2l","Clec2l",0.0002992504034324,0.00887116691828114,0.126609615835896
"Clta","Clta",9.57951566731648e-06,0.000386086771895103,-0.427573357110603
"Cmpk1","Cmpk1",7.87489793673608e-06,0.000320991578398549,0.301707937801763
"Cnih2","Cnih2",1.60733026525541e-20,2.81243593242496e-18,1.22604687361454
"Cops6","Cops6",0.000690076584419788,0.0185416083019759,0.200108569091899
"Cox4i1","Cox4i1",1.56516019709084e-51,9.35704937827476e-49,-0.779910132152027
"Cox6a1","Cox6a1",5.50636904677057e-08,3.13513424932794e-06,0.176911717064959
"Cox6b1","Cox6b1",1.03023161883843e-20,1.84772040838673e-18,-0.452847691036785
"Cox6c","Cox6c",1.77777393438879e-40,6.71250010805535e-38,-0.473888571129239
"Cox7a2","Cox7a2",3.74540395766465e-17,4.79812999862253e-15,-0.789222790677897
"Cox7a2l","Cox7a2l",3.62489017263709e-20,5.91021865874965e-18,-1.16246048528477
"Cox7b","Cox7b",1.30715848526497e-15,1.4652429645767e-13,-1.20291936999154
"Cox7c","Cox7c",2.76977624378909e-07,1.4398822299234e-05,-0.262911081702082
"Cox8a","Cox8a",7.93321541172077e-46,3.79419249091232e-43,-0.508351137350049
"Cpe","Cpe",1.80182289679691e-10,1.31900790424704e-08,1.02345150784178
"Cplx2","Cplx2",6.25703281252841e-07,3.05360227191012e-05,0.467513292216545
"Crlf1","Crlf1",0.000976293943352153,0.0245752026302047,-0.0417673591925269
"Cst3","Cst3",9.32961542719582e-29,2.39038075266796e-26,0.389679776631013
"Ctnnb1","Ctnnb1",0.000265460303757788,0.00810388178365264,-0.198256392992354
"Cycs","Cycs",6.27098590780443e-09,3.91200460022513e-07,0.777056686970799
"Dbi","Dbi",4.17284092958812e-09,2.67285364543439e-07,-0.164655529086197
"Dctpp1","Dctpp1",0.0012049876993836,0.0300159088728401,-0.205142533850409
"Dda1","Dda1",9.80265206917121e-05,0.00325575120112196,0.27232072506322
"Dnaja1","Dnaja1",0.000149114091315397,0.00477564504953865,0.327302150296039
"Dnajb6","Dnajb6",4.01727708606188e-07,2.00138512607e-05,0.376733431163056
"Dstn","Dstn",0.0010079005801715,0.0252820935739521,-0.255538181612289
"Dynlt1a","Dynlt1a",1.18299457423091e-14,1.16257576377159e-12,NA
"Edf1","Edf1",9.58963830310863e-05,0.00321476940123838,-0.46837193981751
"Eef1a1","Eef1a1",5.33641006892004e-100,7.65668116688648e-97,-2.23909011881926
"Eef1b2","Eef1b2",1.84127937279739e-16,2.17045668988009e-14,-0.940575287594113
"Eef1d","Eef1d",1.06224760174415e-05,0.000418712323896294,-0.19224591585939
"Eef1e1","Eef1e1",0.00104621110830425,0.026151632372734,0.129004767619726
"Eef1g","Eef1g",3.4938920417786e-15,3.58074021538852e-13,-1.0933412264593
"Eef2","Eef2",4.47632263147775e-15,4.52297726172132e-13,-0.872344022040998
"Eif2s2","Eif2s2",0.000287759709076174,0.00856592594569491,-0.394882745768208
"Eif3f","Eif3f",9.77339425218289e-06,0.000391700169637766,-0.57656485371984
"Eif3k","Eif3k",4.9747367526948e-05,0.00174944909136434,-0.404784168113427
"Eif4a1","Eif4a1",0.000942603871965024,0.0238948416165268,0.506312821905421
"Eif4a2","Eif4a2",7.44101338520883e-07,3.60688040712758e-05,0.348200926086156
"Eif5a","Eif5a",0.000434969809015041,0.0125825540720722,0.458313607050481
"Eml2","Eml2",0.000825439358539924,0.0213779854085394,0.0879086871337212
"Eri3","Eri3",0.000822460239846808,0.0213779854085394,0.159539549972978
"Evl","Evl",0.000333487827561483,0.00980508883166425,0.429390430376969
"Fabp3","Fabp3",5.24731686178784e-06,0.000220292476851691,0.44955155504116
"Fabp5","Fabp5",5.61872461436872e-65,5.75839005478303e-62,-2.12887516851398
"Fabp7","Fabp7",6.62821504497762e-52,4.32280133933358e-49,-0.592204618564459
"Fau","Fau",1.13492860310315e-154,4.07098889933101e-151,-2.10480270117914
"Fdps","Fdps",3.36040111099778e-07,1.72196554073558e-05,0.436256193900646
"Fez1","Fez1",9.26002489548644e-05,0.00311884594367229,0.376340404107686
"Fgf13","Fgf13",1.80163898592144e-08,1.0770798404167e-06,0.313063056737992
"Fis1","Fis1",8.46131487802588e-09,5.18816007991091e-07,-0.559477576482064
"Fkbp1a","Fkbp1a",1.16139154460919e-07,6.36017018398954e-06,0.767011041804767
"Fth1","Fth1",3.81141033845142e-29,1.01270584326113e-26,-0.274892541761261
"Ftl1","Ftl1",1.47045782935972e-05,0.000558151559144267,-0.0937345297855998
"Fto","Fto",0.000578989619306667,0.0158537081255955,NA
"Gabarap","Gabarap",5.20886210902673e-09,3.30693599735909e-07,-0.738861612789799
"Gapdh","Gapdh",1.85158916667421e-41,7.81370628336517e-39,-1.84734742439233
"Gas7","Gas7",1.12717495109042e-05,0.000439475711908841,0.310280773245579
"Gatm","Gatm",0.000946250421215204,0.0239028187387249,0.183575278579401
"Ggt7","Ggt7",0.00162362116683079,0.0384417764054261,NA
"Glul","Glul",1.15828817111011e-06,5.39581775295059e-05,0.601391931369618
"Gnai2","Gnai2",0.000866971956524472,0.0223519370406601,-0.260095481915181
"Gnb1","Gnb1",1.07490119142744e-17,1.51202767594127e-15,0.865989759380007
"Gnb2l1","Gnb2l1",1.21726231796958e-23,2.42573329697605e-21,-0.809809733485642
"Gng2","Gng2",0.00188950707211513,0.0436740620922761,-0.268359065173857
"Gng5","Gng5",1.28858869253124e-11,1.07492270700222e-09,-0.751409335192945
"Gpm6a","Gpm6a",0.000405420274038313,0.0117752431010156,0.287084326363752
"Gpm6b","Gpm6b",5.88322737567938e-05,0.00203895039580309,0.507880678045541
"Gpx1","Gpx1",1.63226394098289e-05,0.000613081754586978,-0.283427561689749
"Gpx4","Gpx4",7.11972182683591e-11,5.55183525931748e-09,-1.01813743083093
"Gtf2a2","Gtf2a2",0.00217678521478565,0.0491077268266424,0.122525656123938
"H2afv","H2afv",0.00172908597900546,0.0406703698799514,-0.173991811334857
"H2afz","H2afz",1.94034078206988e-05,0.000717526019101512,-0.406362059618388
"H3f3a","H3f3a",3.08763625662019e-10,2.21507025049933e-08,-0.772362911630834
"Hadhb","Hadhb",0.00203922362965211,0.0465904150290581,NA
"Hba-a1","Hba-a1",1.53978530655986e-09,1.04211507445853e-07,-0.114053128779387
"Hba-a2","Hba-a2",1.5991896259227e-05,0.000603820335598391,-0.0758187562631506
"Hbb-bs","Hbb-bs",1.3526262844651e-22,2.48813870891094e-20,-0.272960443532707
"Hint1","Hint1",2.69911928041821e-09,1.79291497386298e-07,-0.876786011295988
"Hist1h2al","Hist1h2al",1.03492997936957e-08,6.29202345084516e-07,NA
"Hist3h2ba","Hist3h2ba",0.000239958442309593,0.0074522158663594,-0.304505504665626
"Hmgb2","Hmgb2",0.000783649920126508,0.0205178997335313,-0.119800487996747
"Hnrnpab","Hnrnpab",0.00177296863237312,0.0414308696047062,-0.0871305350172699
"Hnrnpk","Hnrnpk",0.000710397922841808,0.0190163981286087,0.325701492316525
"Hpca","Hpca",0.000722698473893472,0.019202366117451,0.131531685559775
"Hras","Hras",2.85350830886989e-05,0.00102869691496646,-0.371099704695822
"Hsp90aa1","Hsp90aa1",9.32348549130906e-19,1.36503438601329e-16,-0.959253918994541
"Hsp90ab1","Hsp90ab1",5.16056746324098e-49,2.84783930625314e-46,-2.12134343172837
"Hspe1","Hspe1",1.73459101034054e-14,1.68161566326797e-12,-1.07218919677995
"Id2","Id2",0.000642592975704187,0.0173306842394806,0.162828807685044
"Idh3g","Idh3g",9.73749240196586e-05,0.00324915211589317,-0.0971919540936969
"Ift20","Ift20",0.000883958862704891,0.0226482888608746,-0.141941200908714
"Jund","Jund",0.000479305313167358,0.0135375445537899,0.335687767040698
"Kif1a","Kif1a",1.28133941321638e-57,1.02136988337936e-54,-1.94378791266567
"Kif1b","Kif1b",0.00031821811785952,0.00939463694454403,-0.173989282790508
"Lmo4","Lmo4",2.51228561541138e-07,1.33504718555269e-05,-0.345875595530872
"Lsm4","Lsm4",1.16176995780178e-05,0.0004505155501227,-0.313433871314051
"Lsm5","Lsm5",4.92673088550376e-05,0.00174110184101497,-0.227378647794256
"Malat1","Malat1",1.38052338182147e-118,3.30129158039575e-115,-2.82969288119165
"Map1b","Map1b",2.02061155017322e-17,2.73506929451749e-15,-1.06211757672728
"Mapt","Mapt",1.93793100537274e-24,4.08903442133649e-22,-1.30812140750407
"Marcks","Marcks",1.29528880319743e-12,1.13321974074858e-10,-0.839095216071592
"Marcksl1","Marcksl1",4.73580459322231e-35,1.4771592239903e-32,1.6049053336002
"Mcf2l","Mcf2l",0.000232246388453001,0.00724406778592101,-0.0837337084832983
"Mcrs1","Mcrs1",0.00144786206151752,0.0354503837178385,0.163085003233322
"Mdh2","Mdh2",4.51886614109099e-06,0.000191824530746667,0.525157318744626
"Mfge8","Mfge8",6.1405511718718e-05,0.00211789971668309,-0.143060537325762
"Mgst3","Mgst3",2.53490939022657e-15,2.71424477096797e-13,1.18456671535111
"Mif","Mif",1.05047578332449e-15,1.19620845548729e-13,-0.988407115362875
"Minos1","Minos1",3.3478171971801e-09,2.20341656629083e-07,-0.870813870095906
"Mllt11","Mllt11",2.27963843610043e-57,1.63541261405845e-54,2.3852800253242
"Mmd","Mmd",9.4285903370956e-07,4.45004651831078e-05,0.316711190167654
"Mocs2","Mocs2",0.00180231032707097,0.041979786644179,-0.156536456140237
"Mpc1","Mpc1",8.7325821464983e-07,4.14884399463436e-05,0.417228403491999
"Mt1","Mt1",6.95268009883802e-08,3.86655248287317e-06,-0.715588232826491
"Mt2","Mt2",3.75367109936789e-10,2.66622143236289e-08,-0.361924192338951
"Mt3","Mt3",1.47287432295272e-10,1.10066670758988e-08,-0.783159128976157
"Myeov2","Myeov2",6.47002203112479e-13,5.87543519636572e-11,-1.01052152285607
"Myl6","Myl6",0.000444849485321232,0.0127145426601375,-0.570274847451524
"Naca","Naca",1.71160874114388e-24,3.72093366938369e-22,-1.39074436254162
"Nap1l1","Nap1l1",1.24102741144903e-06,5.74395525789377e-05,-0.258648142281482
"Nav1","Nav1",0.00191189453099486,0.0439613184787087,-0.0879544674151627
"Ncald","Ncald",3.66126725399167e-07,1.84971347043213e-05,0.251648671596383
"Ncs1","Ncs1",5.28166051421857e-16,6.11139234338774e-14,0.473967164811005
"Ndn","Ndn",4.56129762886037e-11,3.6767133920724e-09,-0.390852957836263
"Ndrg2","Ndrg2",0.00045743371358324,0.0130223391319292,0.495241750453946
"Ndufa1","Ndufa1",2.48579534574723e-13,2.3159864688819e-11,0.977914934193907
"Ndufa11","Ndufa11",0.00131011148208242,0.0322980748194476,0.491249930590286
"Ndufa2","Ndufa2",5.44007413959362e-09,3.42342911205654e-07,-0.878932584534761
"Ndufa4","Ndufa4",9.49681143803708e-07,4.45294936316849e-05,0.200391453841535
"Ndufa7","Ndufa7",8.74737311716968e-11,6.7477048110296e-09,-0.778210952349372
"Ndufb8","Ndufb8",4.00124280007174e-05,0.00143524579238573,0.712834254830796
"Ndufb9","Ndufb9",1.13403451909359e-14,1.12993939444131e-12,-1.0300789638494
"Nedd8","Nedd8",1.65587515529004e-10,1.22466477979905e-08,-0.969118489004665
"Nefl","Nefl",0.000254002609693142,0.00782066404265495,0.256628040844022
"Nenf","Nenf",4.50922580572041e-06,0.000191824530746667,-0.409010874783018
