"","gene","Pr..Chisq.","fdr","logfc"
"1500026H17Rik","1500026H17Rik",0.00160429351184227,0.0287730041348912,0.110297061146733
"1810022K09Rik","1810022K09Rik",0.0005006043161905,0.0114739149020787,-0.369719971379888
"2010107E04Rik","2010107E04Rik",3.96152004544385e-10,3.05590804365744e-08,-0.43512317454398
"2310015A10Rik","2310015A10Rik",0.000518359689517816,0.0118054362304788,-0.102914164607873
"2310036O22Rik","2310036O22Rik",0.000117705031541832,0.00341868783919475,-0.410771729896414
"AI593442","AI593442",0.0011995765819862,0.0231337698902393,0.176960562898583
"AY036118","AY036118",1.1093488393263e-13,1.24351071458232e-11,-0.251529796687925
"Abcf1","Abcf1",0.00142626259538915,0.0262717449183712,-0.207724231504741
"Actb","Actb",0.000577041497149152,0.0128561978277889,0.325857149986907
"Actg1","Actg1",1.50503046539503e-40,5.99838253263551e-38,-1.61281431320259
"Adgra1","Adgra1",0.000813630680400661,0.0169188014527372,-0.0832466720938431
"Agap2","Agap2",4.54680938056406e-05,0.00154591518939178,0.158538144789747
"Agl","Agl",3.20544580553815e-20,5.60874834364164e-18,0.618613398076227
"Alkbh5","Alkbh5",0.00108318545052489,0.0211737668176173,-0.105836582035121
"Alyref","Alyref",1.29637688843368e-07,7.15400599817171e-06,0.560552740191794
"Anapc13","Anapc13",0.00289482170220077,0.0455426554640094,-0.111403674856549
"Anapc5","Anapc5",0.000101529085920498,0.00299740601808088,0.310747251978763
"Anp32a","Anp32a",0.000301024282110104,0.0075534427976704,-0.179952515374668
"Anp32b","Anp32b",1.25939047278613e-08,7.92532215067339e-07,-0.457467610662554
"Ap2m1","Ap2m1",0.00243670783925694,0.0404651436084011,0.550745987093869
"Ap2s1","Ap2s1",0.000634891095230262,0.013886307064579,-0.375950624986386
"Ap3s1","Ap3s1",2.74909714682065e-06,0.000124822929944882,0.453383953921716
"Apc","Apc",3.68941565988147e-12,3.72786872450558e-10,-0.886890945572317
"Aprt","Aprt",0.000494248698298854,0.0114010937671897,-0.373881707026853
"Arf5","Arf5",4.96417798702193e-14,6.03610387777887e-12,1.14060096644512
"Arhgdig","Arhgdig",0.00271085352616619,0.0434099624926702,0.568016682969935
"Arl8a","Arl8a",9.02077058348875e-05,0.00272995001461949,0.480135616207506
"Arpc5","Arpc5",4.3178871090212e-05,0.00148213024498173,0.497550405210302
"Arpp21","Arpp21",0.00028070648824659,0.00709080403760928,-0.341626333352008
"Atp1a2","Atp1a2",1.51857571076046e-08,9.31133517008164e-07,-0.547506987646385
"Atp5d","Atp5d",2.45796988826286e-15,3.14883499614246e-13,-1.14905652646251
"Atp5e","Atp5e",2.07439620826036e-08,1.25056457126553e-06,-0.665961635120539
"Atp5g1","Atp5g1",6.81522241095851e-05,0.00216338077770869,0.34317871271187
"Atp5g2","Atp5g2",1.49439557999862e-26,4.12338226573465e-24,-1.42586798493473
"Atp5h","Atp5h",1.66079179485137e-19,2.59011311657907e-17,-1.32165262168283
"Atp5j2","Atp5j2",6.51586056262957e-11,5.63190164774753e-09,-0.626322202856125
"Atp5k","Atp5k",4.0618379055924e-09,2.69811343839999e-07,0.375660187382353
"Atp5o","Atp5o",4.41049781025122e-05,0.00150671006146392,-0.570070011560525
"Atp6v0b","Atp6v0b",1.67371914992108e-06,8.05856455136496e-05,0.394755673289214
"Atp6v1g1","Atp6v1g1",6.2808236359376e-16,8.34419051189192e-14,0.96931267080632
"Atxn1","Atxn1",0.00157967086021618,0.0284024028851901,0.121117118358531
"Atxn7l3b","Atxn7l3b",0.000324721348696614,0.00808871859565802,-0.620982179973291
"B3gat1","B3gat1",0.000143013541310719,0.00399194913630463,-0.263408557747217
"BC023719","BC023719",3.13143005506597e-07,1.62788979819154e-05,NA
"BC029214","BC029214",9.05670620963813e-05,0.00272995001461949,-0.2319152130009
"BC048546","BC048546",0.000775007878728824,0.0162570366140368,0.151930174368721
"Banf1","Banf1",4.16986008648215e-05,0.00144514861161463,-0.47078746879514
"Basp1","Basp1",7.29493258643164e-16,9.51524479546556e-14,-0.910634218685714
"Bend6","Bend6",2.85536092441654e-05,0.00103981519146011,0.40112549686453
"Bex2","Bex2",0.000450874061313069,0.0105018523242206,0.591790656798938
"Bhlhe22","Bhlhe22",0.000301126936176991,0.0075534427976704,0.228642571931018
"Bmpr1a","Bmpr1a",0.00272782631937051,0.0435844677397863,0.0680824182310362
"Bod1","Bod1",8.17888534486248e-05,0.00250749245572835,-0.185152061867763
"Bod1l","Bod1l",9.57260815566818e-07,4.76902020199747e-05,-0.203855506328097
"Bola2","Bola2",0.0025692585471439,0.042178171206431,-0.297150665369349
"Brk1","Brk1",0.000261504478404638,0.00665259974494636,-0.468450427631878
"Bsg","Bsg",4.26140871000513e-11,3.8697906437439e-09,-0.770139371008244
"Btf3","Btf3",2.67634757460836e-10,2.13334638891559e-08,-0.920405179356541
"Bzw1","Bzw1",0.000178051224696216,0.00476619211183079,0.397775213293662
"Bzw2","Bzw2",0.000492374334227347,0.0114010937671897,-0.30421648327106
"Cald1","Cald1",0.000361501373698972,0.00876152315850144,-0.0894238003729783
"Calm1","Calm1",2.68757302186109e-07,1.42819621176529e-05,0.167547292173097
"Calm2","Calm2",2.90596792089617e-191,2.08474138645091e-187,1.65750586326845
