"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Genes"
"5876","GO:0030424",7.12286520192963e-16,1,49,391,"axon","CC","Actb, Actg1, Ap3s1, Apc, Arpc2, Arpc5, Bsg, Calm1, Calm2, Calm3, Cfl1, Cldn5, Cplx2, Cst3, Dynlt1a, Fez1, Fgf13, Fkbp1a, Glul, Gpm6a, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Kif1a, Kif1b, Map1b, Mapt, Nav1, Ncs1, Nefl, Nrgn, Pcp4, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab11a, Rab3a, Sept7, Snap25, Snca, Sncb, Sptbn1, Stmn2, Stx1a, Tubb3, Uchl1, Ywhae"
"7201","GO:0033267",3.46192105610446e-15,1,38,254,"axon part","CC","Actb, Actg1, Ap3s1, Apc, Arpc2, Arpc5, Calm1, Calm2, Calm3, Cfl1, Cldn5, Cplx2, Dynlt1a, Fez1, Fgf13, Fkbp1a, Glul, Gpm6a, Hnrnpk, Hsp90aa1, Hsp90ab1, Map1b, Mapt, Nav1, Ncs1, Nefl, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab3a, Sept7, Snap25, Snca, Sncb, Sptbn1, Stmn2, Ywhae"
"9517","GO:0045202",9.86742557726104e-15,1,69,805,"synapse","CC","Actb, Actg1, Akap12, Ank2, Ap3s1, Apc, Arpc2, Atp1a2, Calm1, Calm2, Calm3, Camk2n1, Cdk16, Cfl1, Clta, Cnih2, Cpe, Cplx2, Ctnnb1, Dbi, Eef1d, Eef2, Eif5a, Fabp5, Fkbp1a, Gapdh, Glul, Gpm6a, Hnrnpab, Hnrnpk, Hpca, Hras, Kif1a, Map1b, Mapt, Marcksl1, Mt3, Ncs1, Ndrg2, Nefl, Nrgn, Nsmf, Pebp1, Pfn2, Ppp2ca, Psma7, Ptprz1, Qk, Rab11a, Rab18, Rab1a, Rab3a, Rheb, Sept7, Serpine2, Snap25, Snca, Sncb, Sptbn1, Stx1a, Stx7, Sumo1, Tuba1a, Tubb2b, Usp50, Vamp2, Ywhae, Ywhah, Ywhaq"
"14747","GO:0150034",1.73382410413129e-14,1,34,208,"distal axon","CC","Actb, Actg1, Apc, Arpc2, Arpc5, Calm1, Calm2, Calm3, Cfl1, Cplx2, Dynlt1a, Fez1, Fgf13, Fkbp1a, Glul, Gpm6a, Hnrnpk, Hsp90aa1, Hsp90ab1, Map1b, Mapt, Ncs1, Nefl, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab3a, Sept7, Snap25, Snca, Sncb, Stmn2, Ywhae"
"14034","GO:0097458",2.40568679798296e-14,1,85,1057,"neuron part","CC","Actb, Actg1, Ank2, Ap3s1, Apc, Arpc2, Arpc5, Atp1a2, Bsg, Calm1, Calm2, Calm3, Camk2n1, Cdk16, Cetn3, Cfl1, Cldn5, Clta, Cnih2, Cpe, Cplx2, Cst3, Ctnnb1, Dbi, Dynlt1a, Eif5a, Fabp5, Fabp7, Fez1, Fgf13, Fkbp1a, Gapdh, Glul, Gnai2, Gnb1, Gpm6a, Gpx1, Hnrnpab, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif1b, Lsm4, Map1b, Mapt, Marcksl1, Mcrs1, Mt3, Nap1l1, Nav1, Ncs1, Nefl, Nrgn, Nsmf, Pcp4, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab11a, Rab1a, Rab3a, Rheb, Sept7, Serpine2, Snap25, Snca, Sncb, Sptbn1, Stmn2, Stmn3, Stx1a, Stx7, Sumo1, Top1, Tubb3, Ubb, Uchl1, Usp50, Vamp2, Ywhae, Ywhah"
"8738","GO:0043005",4.98212377021659e-14,1,70,786,"neuron projection","CC","Actb, Actg1, Ap3s1, Apc, Arpc2, Arpc5, Atp1a2, Bsg, Calm1, Calm2, Calm3, Camk2n1, Cdk16, Cetn3, Cfl1, Cldn5, Cnih2, Cpe, Cplx2, Cst3, Ctnnb1, Dynlt1a, Eif5a, Fez1, Fgf13, Fkbp1a, Glul, Gnai2, Gnb1, Gpm6a, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif1b, Lsm4, Map1b, Mapt, Mcrs1, Nap1l1, Nav1, Ncs1, Nefl, Nrgn, Nsmf, Pcp4, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab11a, Rab3a, Rheb, Sept7, Snap25, Snca, Sncb, Sptbn1, Stmn2, Stmn3, Stx1a, Sumo1, Tubb3, Ubb, Uchl1, Usp50, Vamp2, Ywhae"
"8844","GO:0043209",2.09058341379294e-11,1,31,170,"myelin sheath","CC","Actb, Actg1, Atp1a2, Atp5f1, Atp5h, Calm1, Calm2, Calm3, Cldn5, Cox6a1, Cycs, Eef1a1, Gapdh, Glul, Gnb1, Hba-a1, Hsp90aa1, Mdh2, Mif, Nefl, Pebp1, Ppia, Prdx2, Sept7, Slc25a4, Slc25a5, Snap25, Tuba1a, Ubb, Ubc, Uchl1"
"9319","GO:0044463",2.98442185804098e-11,1,62,730,"cell projection part","CC","Actb, Actg1, Ap3s1, Apc, Arpc2, Arpc5, Atp1a2, Calm1, Calm2, Calm3, Camk2n1, Cetn3, Cfl1, Cldn5, Cnih2, Cpe, Cplx2, Ctnnb1, Dynlt1a, Eef1a1, Eif5a, Fez1, Fgf13, Fkbp1a, Gabarap, Glul, Gnai2, Gnb1, Gpm6a, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif1b, Map1b, Mapt, Mcrs1, Nav1, Ncs1, Nefl, Nrgn, Nsmf, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab3a, Rheb, Sept7, Snap25, Snca, Sncb, Sptbn1, Stmn2, Sumo1, Tubb3, Uchl1, Usp50, Vamp2, Ywhae"
"14668","GO:0120038",2.98442185804098e-11,1,62,730,"plasma membrane bounded cell projection part","CC","Actb, Actg1, Ap3s1, Apc, Arpc2, Arpc5, Atp1a2, Calm1, Calm2, Calm3, Camk2n1, Cetn3, Cfl1, Cldn5, Cnih2, Cpe, Cplx2, Ctnnb1, Dynlt1a, Eef1a1, Eif5a, Fez1, Fgf13, Fkbp1a, Gabarap, Glul, Gnai2, Gnb1, Gpm6a, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif1b, Map1b, Mapt, Mcrs1, Nav1, Ncs1, Nefl, Nrgn, Nsmf, Pebp1, Pfn2, Ppp2ca, Ptprz1, Rab3a, Rheb, Sept7, Snap25, Snca, Sncb, Sptbn1, Stmn2, Sumo1, Tubb3, Uchl1, Usp50, Vamp2, Ywhae"
"3065","GO:0008092",5.00989328831722e-11,1,48,480,"cytoskeletal protein binding","MF","Actb, Apc, Arpc2, Arpc5, Capza2, Cetn3, Cfl1, Dstn, Eef2, Eml2, Evl, Fabp3, Fez1, Fgf13, Gabarap, Gapdh, Gas7, Gnb1, Hnrnpk, Hpca, Hsp90aa1, Hsp90ab1, Kif1a, Kif1b, Map1b, Mapt, Marcks, Marcksl1, Ncald, Ndn, Pfn2, Ppp2ca, Rab11a, Rab3a, Snap25, Snca, Sncb, Sptbn1, Stmn2, Stmn3, Stx1a, Tbca, Tmsb10, Tmsb4x, Tpr, Vamp2, Vapa, Ywhah"
