"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Genes"
"14034","GO:0097458",5.60240487408799e-15,1,119,1057,"neuron part","CC","Actb, Actg1, Adgra1, Ap3s1, Apc, Arpc5, Atp1a2, Bmpr1a, Bsg, Cald1, Calm1, Calm2, Calm3, Camk2n1, Cd200, Cfl1, Chl1, Cldn5, Clta, Cnih2, Cpe, Cplx2, Creb1, Crmp1, Cst3, Ctla2a, Ctnnb1, Ctsl, Dlgap4, Dpysl2, Dynll1, Dynlt1a, Eif4g2, Eif5a, Epha5, Fabp5, Fabp7, Fez1, Fgf13, Fkbp1a, Fxyd6, Gap43, Gapdh, Gdi1, Gnai2, Gnas, Gnb1, Gpx1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif5c, Lin7b, Lsm4, Mal2, Map1a, Map1b, Map2, Mapt, Marcksl1, Mt3, Nav1, Ncs1, Npy, Nrgn, Nrxn2, Nsg1, Nsmf, Pcp4, Pebp1, Pfn1, Pfn2, Pin1, Plk2, Ppfia1, Prkaca, Ptprz1, Rab11a, Rab11b, Rab1a, Rab3a, Rab3d, Ranbp1, Rgs17, Rheb, Rhoa, Rph3a, Rtn4, Serpine2, Slc1a3, Slc6a11, Slc9a3r2, Smarcc2, Snap25, Snca, Sncb, Sst, Stmn1, Stmn2, Stmn3, Stx1a, Stx7, Sumo1, Tbcc, Top1, Tprgl, Tubb3, Tubb4a, Ubb, Uchl1, Vamp2, Ybx1, Ywhae, Ywhah, Ywhaz, Zwint"
"8738","GO:0043005",1.01020229529009e-14,1,97,786,"neuron projection","CC","Actb, Actg1, Ap3s1, Apc, Arpc5, Atp1a2, Bmpr1a, Bsg, Cald1, Calm1, Calm2, Calm3, Camk2n1, Cd200, Cfl1, Chl1, Cldn5, Cnih2, Cpe, Cplx2, Creb1, Crmp1, Cst3, Ctla2a, Ctnnb1, Ctsl, Dlgap4, Dpysl2, Dynll1, Dynlt1a, Eif4g2, Eif5a, Epha5, Fez1, Fgf13, Fkbp1a, Gap43, Gdi1, Gnai2, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif5c, Lin7b, Lsm4, Map1a, Map1b, Map2, Mapt, Nav1, Ncs1, Npy, Nrgn, Nsg1, Nsmf, Pcp4, Pebp1, Pfn1, Pfn2, Pin1, Plk2, Ppfia1, Prkaca, Ptprz1, Rab11a, Rab3a, Ranbp1, Rgs17, Rheb, Rhoa, Rph3a, Rtn4, Slc1a3, Slc6a11, Slc9a3r2, Snap25, Snca, Sncb, Stmn1, Stmn2, Stmn3, Stx1a, Sumo1, Tbcc, Tubb3, Tubb4a, Ubb, Uchl1, Vamp2, Ybx1, Ywhae, Zwint"
"5876","GO:0030424",1.68524266916425e-12,1,58,391,"axon","CC","Actb, Actg1, Ap3s1, Apc, Arpc5, Bsg, Calm1, Calm2, Calm3, Cd200, Cfl1, Cldn5, Cplx2, Creb1, Crmp1, Cst3, Dpysl2, Dynll1, Dynlt1a, Eif4g2, Fez1, Fgf13, Fkbp1a, Gap43, Gdi1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Kif1a, Kif5c, Map1a, Map1b, Map2, Mapt, Nav1, Ncs1, Npy, Nrgn, Pcp4, Pebp1, Pfn2, Ppfia1, Ptprz1, Rab11a, Rab3a, Ranbp1, Rhoa, Rtn4, Snap25, Snca, Sncb, Stmn2, Stx1a, Tubb3, Tubb4a, Uchl1, Ywhae"
"10563","GO:0048699",2.77927635414764e-11,1,85,767,"generation of neurons","BP","Actb, Apc, Atxn1, Bend6, Bhlhe22, Bmpr1a, Bsg, Calr, Cd24a, Cfl1, Chd5, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dok5, Dpysl2, Eef1a1, Eif4g1, Eif4g2, Epha5, Fez1, Fgf13, Fkbp1b, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Kif5c, Lgals1, Lmo4, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mt3, Nav1, Ncs1, Nme2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pin1, Plk2, Ppia, Ptprz1, Rab11a, Rab3a, Ranbp1, Rheb, Rhoa, Rorb, Rtn4, Serpine2, Slc1a3, Smarcc2, Snap25, Sox4, Stk25, Stmn1, Stmn2, Stmn3, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhae, Ywhah, Ywhaz"
"7201","GO:0033267",5.66046698416539e-11,1,42,254,"axon part","CC","Actb, Actg1, Ap3s1, Apc, Arpc5, Calm1, Calm2, Calm3, Cfl1, Cldn5, Cplx2, Crmp1, Dpysl2, Dynll1, Dynlt1a, Fez1, Fgf13, Fkbp1a, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Kif5c, Map1a, Map1b, Map2, Mapt, Nav1, Ncs1, Npy, Pebp1, Pfn2, Ptprz1, Rab3a, Ranbp1, Rtn4, Snap25, Snca, Sncb, Stmn2, Tubb4a, Ywhae"
"9517","GO:0045202",6.95614262864366e-11,1,86,805,"synapse","CC","Actb, Actg1, Adgra1, Ap2m1, Ap3s1, Apc, Atp1a2, Cald1, Calm1, Calm2, Calm3, Camk2n1, Camkv, Cfl1, Clta, Cnih2, Cpe, Cplx2, Ctnnb1, Dlgap4, Dpysl2, Eef1d, Eef2, Eif4g1, Eif4g2, Eif5a, Fabp5, Fkbp1a, Fxyd6, Gap43, Gapdh, Gsk3b, Hnrnpk, Hras, Kif1a, Lin7b, Mal2, Map1a, Map1b, Map2, Mapt, Marcksl1, Mt3, Ncs1, Npy, Nrgn, Nrxn2, Nsg1, Nsmf, Pebp1, Pfn1, Pfn2, Pin1, Prkaca, Psma7, Ptprz1, Rab11a, Rab11b, Rab18, Rab1a, Rab3a, Rab3d, Rgs17, Rheb, Rhoa, Rph3a, Rtn4, Serpine2, Slc1a3, Slc6a11, Snap25, Snca, Sncb, Sparc, Sparcl1, Stx1a, Stx7, Sumo1, Tprgl, Tubb2b, Uba52, Vamp2, Ywhae, Ywhah, Ywhaq, Ywhaz"
"5577","GO:0022008",9.92281381289621e-11,1,87,810,"neurogenesis","BP","Actb, Apc, Atxn1, Bend6, Bhlhe22, Bmpr1a, Bsg, Calr, Cd24a, Cfl1, Chd5, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dok5, Dpysl2, Eef1a1, Eif4g1, Eif4g2, Epha5, Fabp7, Fez1, Fgf13, Fkbp1b, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Kif5c, Lgals1, Lmo4, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mt3, Nav1, Ncs1, Nme2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pin1, Plk2, Pou3f1, Ppia, Ptprz1, Rab11a, Rab3a, Ranbp1, Rheb, Rhoa, Rorb, Rtn4, Serpine2, Slc1a3, Smarcc2, Snap25, Sox4, Stk25, Stmn1, Stmn2, Stmn3, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhae, Ywhah, Ywhaz"
"5766","GO:0030182",2.20282007373546e-10,1,78,706,"neuron differentiation","BP","Actb, Apc, Bend6, Bhlhe22, Bsg, Calr, Cd24a, Cfl1, Chd5, Chl1, Creb1, Crmp1, Ctnnb1, Cux2, Dok5, Dpysl2, Eef1a1, Eif4g1, Eif4g2, Epha5, Fez1, Fgf13, Fkbp1b, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Kif5c, Lgals1, Lmo4, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Ncs1, Nme2, Nsmf, Numbl, Olig1, Pcp4, Pin1, Plk2, Ppia, Ptprz1, Rab11a, Rab3a, Ranbp1, Rhoa, Rorb, Rtn4, Serpine2, Slc1a3, Smarcc2, Snap25, Sox4, Stk25, Stmn1, Stmn2, Stmn3, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhah, Ywhaz"
"2942","GO:0007399",3.30173081353098e-10,1,103,1051,"nervous system development","BP","Actb, Anp32b, Apc, Atxn1, Bend6, Bhlhe22, Bmpr1a, Bsg, Bzw2, Calr, Cd24a, Cfl1, Chd5, Chl1, Cldn5, Cox7b, Cpe, Cplx2, Creb1, Crmp1, Ctnnb1, Cux2, Dok5, Dpysl2, Eef1a1, Eif4g1, Eif4g2, Epha5, Fabp7, Fez1, Fgf13, Fkbp1b, Gap43, Gas7, Gdi1, Gsk3b, Hnrnpk, Hprt, Hsp90aa1, Hsp90ab1, Ift20, Kif1a, Kif5c, Lgals1, Lmo4, Lrrc24, Mal2, Map1a, Map1b, Map2, Mapt, Mef2c, Metrn, Mif, Mmd, Mt3, Nav1, Ncs1, Ndufs4, Nme2, Nnat, Nrxn2, Nsmf, Numbl, Olig1, Pcm1, Pcp4, Pebp1, Pfn1, Pin1, Plk2, Pou3f1, Ppia, Prkaca, Ptprz1, Rab11a, Rab3a, Ranbp1, Rheb, Rhoa, Rorb, Rtn4, Serpine2, Slc1a3, Smarcc2, Snap25, Snca, Sox4, Stk25, Stmn1, Stmn2, Stmn3, Ttc3, Tubb2b, Tubb3, Ubb, Ube2v2, Uchl1, Uqcrq, Vapa, Ywhae, Ywhah, Ywhaz"
"8729","GO:0042995",5.46557843922802e-10,1,112,1119,"cell projection","CC","Actb, Actg1, Ap3s1, Apc, Arpc5, Atp1a2, Basp1, Bmpr1a, Brk1, Bsg, Cald1, Calm1, Calm2, Calm3, Camk2n1, Cd200, Cd24a, Cfl1, Chl1, Cldn5, Cnih2, Cpe, Cplx2, Creb1, Crmp1, Cst3, Ctla2a, Ctnnb1, Ctsl, Dlgap4, Dpysl2, Dynll1, Dynlt1a, Eef1a1, Eif4g2, Eif5a, Epha5, Fabp7, Fez1, Fgf13, Fkbp1a, Gabarap, Gap43, Gas7, Gdi1, Gnai2, Gnas, Gnb1, Gsk3b, Hnrnpk, Hsp90aa1, Hsp90ab1, Ift20, Ift74, Kif1a, Kif21a, Kif5c, Lin7b, Lsm4, Map1a, Map1b, Map2, Mapt, Nav1, Ncs1, Nme2, Npy, Nrgn, Nsg1, Nsmf, Pcm1, Pcp4, Pebp1, Pfn1, Pfn2, Pin1, Plk2, Ppfia1, Ppp1r16b, Prkaca, Ptprz1, Rab11a, Rab28, Rab3a, Ranbp1, Rgs17, Rheb, Rhoa, Rph3a, Rtn4, Slc1a3, Slc6a11, Slc9a3r2, Snap25, Snca, Sncb, Spry2, Stmn1, Stmn2, Stmn3, Stx1a, Sumo1, Tbcc, Tiam2, Tubb3, Tubb4a, Ubb, Uchl1, Vamp2, Ybx1, Ywhae, Zwint"
