,FDR_NULL,log2FC_NULL,FDR_HET,log2FC_HET
1810022K09Rik,0.0114739149020787,-0.369719971379888,0.00817322527682605,-0.210997743685544
2010107E04Rik,3.05590804365744e-08,-0.43512317454398,1.88011666667523e-05,-0.620340875081739
Actg1,5.99838253263551e-38,-1.61281431320259,3.52434781549379e-24,-1.46814723954036
Anapc13,0.0455426554640094,-0.111403674856549,2.42620359297083e-07,-0.597922525417699
Apc,3.72786872450558e-10,-0.886890945572317,9.77127210575668e-09,-0.7635718677729
Atp1a2,9.31133517008164e-07,-0.547506987646385,0.0363968745765403,-0.166087696663262
Atp5d,3.14883499614246e-13,-1.14905652646251,6.61440282877926e-08,-0.830201633888833
Atp5e,1.25056457126553e-06,-0.665961635120539,5.2875938639871e-09,-1.02123494055223
Atp5g2,4.12338226573465e-24,-1.42586798493473,9.41575485472499e-28,-1.42638835027726
Atp5h,2.59011311657907e-17,-1.32165262168283,7.82739403562942e-12,-1.00038825317503
Atp5j2,5.63190164774753e-09,-0.626322202856125,3.54157482693829e-06,-0.621331379341816
Atxn7l3b,0.00808871859565802,-0.620982179973291,0.000825407985892657,-0.532024970239735
Banf1,0.00144514861161463,-0.47078746879514,0.0436096303709143,-0.178159935536665
Basp1,9.51524479546556e-14,-0.910634218685714,2.37213515217426e-63,-2.10649830778451
Bola2,0.042178171206431,-0.297150665369349,2.44477135277461e-07,-0.784108199661578
Bsg,3.8697906437439e-09,-0.770139371008244,4.68606762423743e-18,-0.570521591425166
Camk2n1,4.85915504427485e-09,-0.669610590996482,1.5822140496054e-09,-0.91707884155517
Ccnd2,0.000279189453116699,-0.629690311516705,3.42142100852006e-06,-0.480051845907294
Cdk4,0.000304766835290211,-0.39650350715406,1.32222728778383e-05,-0.228280674453087
Chd3,0.0249768854308045,-0.419490522106162,0.00510742412046098,-0.330968674487025
Cldn5,5.04061486164306e-08,-0.317119768108662,8.04902233969174e-06,-0.0825217859576431
Clta,0.000429494996818538,-0.578343973352234,0.000386086771895103,-0.427573357110603
Cox4i1,4.04598856432053e-41,-0.657027182722754,9.35704937827476e-49,-0.779910132152027
Cox6b1,2.45017336372259e-07,-0.262503837008275,1.84772040838673e-18,-0.452847691036785
Cox6c,3.23095165552748e-09,-0.198154084449461,6.71250010805535e-38,-0.473888571129239
Cox7a2,1.04476342598526e-11,-0.524933353192864,4.79812999862253e-15,-0.789222790677897
Cox7a2l,1.13420483560253e-07,-0.888288402904385,5.91021865874965e-18,-1.16246048528477
Cox7b,1.12137904521532e-22,-1.45940922814709,1.4652429645767e-13,-1.20291936999154
Cox7c,1.04811617654086e-14,-0.408984053522566,1.4398822299234e-05,-0.262911081702082
Cox8a,1.45114886710834e-45,-0.541140815481947,3.79419249091232e-43,-0.508351137350049
Ctnnb1,0.00111237111658784,-0.380576761963379,0.00810388178365264,-0.198256392992354
Dstn,0.00430485711400143,-0.506932785402999,0.0252820935739521,-0.255538181612289
Eef1a1,3.93315995137924e-99,-2.23397505859425,7.65668116688648e-97,-2.23909011881926
Eef1b2,6.2938249452116e-27,-1.65853043816977,2.17045668988009e-14,-0.940575287594113
Eef1d,1.36885709566319e-07,-0.534314514659875,0.000418712323896294,-0.19224591585939
Eef1g,7.63272011428697e-21,-1.3930825953637,3.58074021538852e-13,-1.0933412264593
Eef2,6.54723172107288e-15,-1.30343699108506,4.52297726172132e-13,-0.872344022040998
Eif2s2,0.0100570856122224,-0.473602789811781,0.00856592594569491,-0.394882745768208
Eif3f,9.62856704808016e-10,-0.958719843700331,0.000391700169637766,-0.57656485371984
Eif3k,0.0372205510466107,-0.485856880229113,0.00174944909136434,-0.404784168113427
Fabp5,6.28873241140412e-41,-1.39709723781774,5.75839005478303e-62,-2.12887516851398
Fabp7,9.12456724907736e-08,-0.229307993115366,4.32280133933358e-49,-0.592204618564459
Fau,4.2821209609547e-101,-1.51249059090161,4.07098889933101e-151,-2.10480270117914
Fis1,0.000961364412808721,-0.586484531385397,5.18816007991091e-07,-0.559477576482064
Fth1,9.42657661159596e-64,-0.432538709967272,1.01270584326113e-26,-0.274892541761261
Gabarap,4.75367471089213e-09,-0.827448054404383,3.30693599735909e-07,-0.738861612789799
Gapdh,4.9363275838917e-45,-2.21891721945098,7.81370628336517e-39,-1.84734742439233
Gnai2,0.00399025252089593,-0.543470651900636,0.0223519370406601,-0.260095481915181
Gnb2l1,5.95898109967079e-18,-1.15107430407502,2.42573329697605e-21,-0.809809733485642
Gng5,0.00200683553733965,-0.543048646886111,1.07492270700222e-09,-0.751409335192945
Gpx1,0.0428066001669604,-0.322267501740038,0.000613081754586978,-0.283427561689749
Gpx4,3.04063569083842e-15,-1.22171932101047,5.55183525931748e-09,-1.01813743083093
H3f3a,5.07144266537506e-19,-1.2427567490242,2.21507025049933e-08,-0.772362911630834
Hba-a1,0.00116392235323034,-0.186349817857794,1.04211507445853e-07,-0.114053128779387
Hba-a2,7.31617558811689e-12,-0.277161824802591,0.000603820335598391,-0.0758187562631506
Hbb-bs,1.72486101806637e-34,-0.936293003200467,2.48813870891094e-20,-0.272960443532707
Hist3h2ba,0.00240739380420387,-0.542511218567329,0.0074522158663594,-0.304505504665626
Hras,0.000283604912736449,-0.588143513839207,0.00102869691496646,-0.371099704695822
Hsp90aa1,1.59475799165857e-18,-1.32887336081178,1.36503438601329e-16,-0.959253918994541
Hsp90ab1,2.24891948256902e-60,-2.42095436655803,2.84783930625314e-46,-2.12134343172837
Hspe1,3.23095165552748e-09,-0.901450932530522,1.68161566326797e-12,-1.07218919677995
Idh3g,0.0132326043241463,-0.228157853616488,0.00324915211589317,-0.0971919540936969
Ift20,0.0154284356414484,-0.266128974592171,0.0226482888608746,-0.141941200908714
Kif1a,9.23589485452888e-53,-2.2013846923437,1.02136988337936e-54,-1.94378791266567
Lmo4,0.0233037053993182,-0.394723828002384,1.33504718555269e-05,-0.345875595530872
Lsm4,0.0236889631465969,-0.339704603257112,0.0004505155501227,-0.313433871314051
Malat1,2.27563892064427e-82,-3.20150430112728,3.30129158039575e-115,-2.82969288119165
