"","gene","Pr..Chisq.","fdr","logfc"
"Actg1","Actg1",1.50503046539503e-40,5.99838253263551e-38,-1.61281431320259
"Arf5","Arf5",4.96417798702193e-14,6.03610387777887e-12,1.14060096644512
"Atp5d","Atp5d",2.45796988826286e-15,3.14883499614246e-13,-1.14905652646251
"Atp5g2","Atp5g2",1.49439557999862e-26,4.12338226573465e-24,-1.42586798493473
"Atp5h","Atp5h",1.66079179485137e-19,2.59011311657907e-17,-1.32165262168283
"Calm2","Calm2",2.90596792089617e-191,2.08474138645091e-187,1.65750586326845
"Cox7b","Cox7b",4.5330348914475e-25,1.12137904521532e-22,-1.45940922814709
"Eef1a1","Eef1a1",2.19300805764106e-102,3.93315995137924e-99,-2.23397505859425
"Eef1b2","Eef1b2",2.19327604725802e-29,6.2938249452116e-27,-1.65853043816977
"Eef1g","Eef1g",3.2982202891399e-23,7.63272011428697e-21,-1.3930825953637
"Eef2","Eef2",4.74569346941441e-17,6.54723172107288e-15,-1.30343699108506
"Fabp5","Fabp5",1.4902209505697e-43,6.28873241140412e-41,-1.39709723781774
"Fau","Fau",1.79068342387289e-104,4.2821209609547e-101,-1.51249059090161
"Gapdh","Gapdh",1.0321287114354e-47,4.9363275838917e-45,-2.21891721945098
"Gnb2l1","Gnb2l1",3.48867028416745e-20,5.95898109967079e-18,-1.15107430407502
"Gpx4","Gpx4",2.16158935367661e-17,3.04063569083842e-15,-1.22171932101047
"H3f3a","H3f3a",2.68629525068654e-21,5.07144266537506e-19,-1.2427567490242
"Hsp90aa1","Hsp90aa1",8.89187617317297e-21,1.59475799165857e-18,-1.32887336081178
"Hsp90ab1","Hsp90ab1",3.13481946273908e-63,2.24891948256902e-60,-2.42095436655803
"Kif1a","Kif1a",1.67363581138661e-55,9.23589485452888e-53,-2.2013846923437
"Malat1","Malat1",1.58603214430183e-85,2.27563892064427e-82,-3.20150430112728
"Mapt","Mapt",5.5016842700474e-26,1.46181788716e-23,-1.46759164178849
"Marcksl1","Marcksl1",4.24427217671917e-20,7.08102525483333e-18,1.11584532315547
"Mllt11","Mllt11",3.88995544568529e-22,8.20780599039597e-20,1.29519430042665
"Naca","Naca",1.92279059640384e-22,4.18003022381853e-20,-1.48671654787898
"Ndufa1","Ndufa1",5.39886221907373e-19,8.06904949159061e-17,1.18081408242885
"Ndufb9","Ndufb9",5.15378362532425e-20,8.21627638401693e-18,-1.15254956453723
"Nnat","Nnat",1.64044588522127e-23,3.92285292685913e-21,-1.48558530722741
"Nrgn","Nrgn",3.15066952894625e-113,1.13014516003302e-109,2.23785540372521
"Pcp4","Pcp4",1.45785026550816e-37,5.22930890237776e-35,-2.03422505406196
"Pebp1","Pebp1",6.89941377489202e-34,2.06234976754481e-31,-1.69174374020194
"Pfdn5","Pfdn5",1.93112073201578e-21,3.74428652202195e-19,-1.4265947057009
"Pfn1","Pfn1",6.61820235658491e-21,1.21740983861898e-18,1.48720617616818
"Ptgds","Ptgds",8.73543348707851e-61,5.22233331969177e-58,-1.36802045320417
"Ptma","Ptma",3.49689283062953e-14,4.32529468395452e-12,-1.23313930441566
"Snrpn","Snrpn",3.54442312458108e-37,1.21084245217832e-34,1.71341548869899
"Stmn3","Stmn3",2.03765300693253e-14,2.56458292486561e-12,-1.13934313779422
"Tbca","Tbca",7.89643181295607e-11,6.743928788827e-09,-1.15173555713412
"Tpt1","Tpt1",1.21157049961413e-62,7.90164251293798e-60,-2.26319035452912
"Uba52","Uba52",5.20747301134834e-67,5.33691591191614e-64,-2.50524837280542
"Ubc","Ubc",1.63475197655362e-25,4.18846809992702e-23,1.2925086262886
"Uqcrh","Uqcrh",7.47024756104279e-22,1.48865433341447e-19,-1.4138258721993
"Vamp2","Vamp2",9.40503387906739e-13,1.00704049326014e-10,1.13898696723183
"Ywhah","Ywhah",4.72459105562996e-22,9.68406178088267e-20,1.39647466375489
