"Gene","Direction","Count","Files"
"1500026H17Rik","UP",1,"WTvsNULL"
"1810022K09Rik","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"1810037I17Rik","DOWN",1,"Group2vsGroup1"
"2010107E04Rik","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"2310015A10Rik","DOWN",1,"WTvsNULL"
"2310036O22Rik","DOWN",2,"Group2vsGroup1,WTvsNULL"
"2410015M20Rik","DOWN",1,"Group2vsGroup1"
"2700094K13Rik","DOWN",2,"Group2vsGroup1,WTvsHET"
"Abcf1","DOWN",1,"WTvsNULL"
"Acat2","UP",1,"WTvsHET"
"Acsbg1","UP",2,"Group2vsGroup1,WTvsHET"
"Actb","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Actg1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Adgra1","DOWN",1,"WTvsNULL"
"Agap2","UP",1,"WTvsNULL"
"Agl","UP",1,"WTvsNULL"
"AI593442","UP",1,"WTvsNULL"
"Akap12","DOWN",1,"WTvsHET"
"Akap7","UP",1,"Group2vsGroup1"
"Alkbh5","DOWN",1,"WTvsNULL"
"Alyref","UP",1,"WTvsNULL"
"Anapc11","DOWN",2,"Group2vsGroup1,WTvsHET"
"Anapc13","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Anapc5","UP",2,"Group2vsGroup1,WTvsNULL"
"Ank2","DOWN",1,"WTvsHET"
"Anp32a","DOWN",1,"WTvsNULL"
"Anp32b","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Ap1ar","UP",1,"Group2vsGroup1"
"Ap2m1","UP",1,"WTvsNULL"
"Ap2s1","DOWN",1,"WTvsNULL"
"Ap3s1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Apc","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Aprt","DOWN",1,"WTvsNULL"
"Arf2","DOWN",1,"Group2vsGroup1"
"Arf5","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Arhgdig","UP",1,"WTvsNULL"
"Arl8a","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Arpc2","UP",1,"WTvsHET"
"Arpc5","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Arpp21","DOWN",1,"WTvsNULL"
"Atox1","DOWN",1,"WTvsHET"
"Atp1a2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Atp5d","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Atp5e","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Atp5f1","UP",1,"WTvsHET"
"Atp5g1","UP",1,"WTvsNULL"
"Atp5g2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Atp5g3","DOWN",1,"WTvsHET"
"Atp5h","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Atp5j2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Atp5k","UP",1,"WTvsNULL"
"Atp5o","DOWN",1,"WTvsNULL"
"Atp6v0b","UP",2,"Group2vsGroup1,WTvsNULL"
"Atp6v0e","DOWN",1,"Group2vsGroup1"
"Atp6v1f","DOWN",1,"Group2vsGroup1"
"Atp6v1g1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Atpif1","DOWN",1,"WTvsHET"
"Atxn1","UP",1,"WTvsNULL"
"Atxn1",NA,2,"Group2vsGroup1,WTvsHET"
"Atxn7l3b","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"AY036118","DOWN",1,"WTvsNULL"
"B3gat1","DOWN",1,"WTvsNULL"
"Banf1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Basp1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"BC023719",NA,1,"WTvsNULL"
"BC029214","DOWN",1,"WTvsNULL"
"BC048546","UP",2,"WTvsHET,WTvsNULL"
"Bend6","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Bex2","UP",1,"WTvsNULL"
"Bhlhe22","UP",1,"WTvsNULL"
"Bmpr1a","UP",1,"WTvsNULL"
"Bod1","DOWN",1,"WTvsNULL"
"Bod1l","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Bola2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Brk1","DOWN",1,"WTvsNULL"
"Bsg","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Btf3","DOWN",1,"WTvsNULL"
"Bzw1","UP",2,"WTvsHET,WTvsNULL"
"Bzw2","DOWN",1,"WTvsNULL"
"Cald1","DOWN",1,"WTvsNULL"
"Calm1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Calm2","UP",5,"Group2vsGroup1,Tbr1_WTvsTbr1_HET,Tbr1_WTvsTbr1_NULL,WTvsHET,WTvsNULL"
"Calm3","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Calr","DOWN",1,"WTvsNULL"
"Camk2n1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
